"","listlambda","SRknown","SRunknown","SRmax"
"1",0.01,0.29763294631477,0.301563114199344,0.854074282320921
"2",0.2,0.383694792693898,0.36780962502075,0.854074282320921
"3",0.4,0.415943340584424,0.40183822662184,0.854074282320921
"4",0.666666666666667,0.438221081203632,0.42576181109541,0.854074282320921
"5",1.33333333333333,0.463165899652592,0.452611917641515,0.854074282320921
"6",2,0.474030486749235,0.464181279921119,0.854074282320921
"7",2.66666666666667,0.479984468166796,0.470427341989387,0.854074282320921
"8",3.33333333333333,0.483659196405638,0.474206154862181,0.854074282320921
"9",4,0.486105090571454,0.476652285165354,0.854074282320921
"10",4.66666666666667,0.487822011455231,0.478304324146227,0.854074282320921
"11",5.33333333333333,0.489076280173791,0.479449292496158,0.854074282320921
"12",6,0.490021632605249,0.480253248475493,0.854074282320921
"13",6.66666666666667,0.490752343295529,0.480818399055403,0.854074282320921
"14",7.33333333333333,0.491329036746878,0.481210778199288,0.854074282320921
"15",8,0.491792228603964,0.481474754266078,0.854074282320921
"16",8.66666666666667,0.492169874191814,0.481641120264306,0.854074282320921
"17",9.33333333333333,0.49248178967039,0.481731838868578,0.854074282320921
"18",10,0.492742350317283,0.481762944615379,0.854074282320921
"19",10.6666666666667,0.492962195812026,0.481746383102641,0.854074282320921
"20",11.3333333333333,0.493149340800565,0.48169121259991,0.854074282320921
"21",12,0.493309917298646,0.481604410162413,0.854074282320921
"22",12.6666666666667,0.493448682519424,0.481491425138283,0.854074282320921
"23",13.3333333333333,0.493569373397053,0.481356567130757,0.854074282320921
"24",14,0.493674958636091,0.481203282968484,0.854074282320921
"25",14.6666666666667,0.493767820867403,0.481034357727914,0.854074282320921
"26",15.3333333333333,0.493849890258863,0.480852062825929,0.854074282320921
"27",16,0.493922743848999,0.480658266607916,0.854074282320921
"28",16.6666666666667,0.493987680313038,0.480454517957301,0.854074282320921
"29",17.3333333333333,0.494045776877497,0.48024211022926,0.854074282320921
"30",18,0.49409793309928,0.48002213065194,0.854074282320921
"31",18.6666666666667,0.494144904866675,0.479795498868402,0.854074282320921
"32",19.3333333333333,0.494187331043021,0.479562997276202,0.854074282320921
"33",20,0.494225754519095,0.479325295109467,0.854074282320921
