"","listlambda","SRknown","SRunknown","SRmax"
"1",0.01,0.618273603938007,0.626679013142598,1.02274945024555
"2",0.05,0.652568049379121,0.662160796366098,1.02274945024555
"3",0.1,0.682153208529074,0.692752940130732,1.02274945024555
"4",0.2,0.719771657256028,0.731831763509781,1.02274945024555
"5",0.4,0.759601231439413,0.773612587661189,1.02274945024555
"6",0.6,0.780887161088339,0.796145205629088,1.02274945024555
"7",0.8,0.794157868339901,0.810266873351292,1.02274945024555
"8",1,0.803156581169476,0.819879287393337,1.02274945024555
"9",1.2,0.809592824919178,0.826779520063345,1.02274945024555
"10",1.4,0.814368560947394,0.83192036773109,1.02274945024555
"11",1.6,0.818007245797636,0.835856158619637,1.02274945024555
"12",1.8,0.820834084597829,0.838931618246151,1.02274945024555
"13",2,0.823061772370415,0.841372238928143,1.02274945024555
"14",2.2,0.82483514554587,0.843331523036866,1.02274945024555
"15",2.4,0.826256102914104,0.84491741095494,1.02274945024555
"16",2.6,0.827398298501291,0.846207880621623,1.02274945024555
"17",2.8,0.828316199117676,0.84726056765393,1.02274945024555
"18",3,0.829050878586441,0.848118918540806,1.02274945024555
"19",3.2,0.829633842225872,0.848816250073029,1.02274945024555
"20",3.4,0.830089619871408,0.849378499755833,1.02274945024555
"21",3.6,0.830437565410997,0.84982613305024,1.02274945024555
"22",3.8,0.830693131445784,0.850175493199743,1.02274945024555
"23",4,0.830868788662747,0.850439774019514,1.02274945024555
"24",4.2,0.830974699750864,0.850629732416368,1.02274945024555
"25",4.4,0.831019220619348,0.850754217944676,1.02274945024555
"26",4.6,0.831009278100731,0.850820571616046,1.02274945024555
"27",4.8,0.830950657995157,0.85083492987911,1.02274945024555
"28",5,0.83084822714828,0.850802458882302,1.02274945024555
"29",5.2,0.830706106392608,0.850727536843389,1.02274945024555
"30",5.4,0.830527806471926,0.850613897350643,1.02274945024555
"31",5.6,0.830316335786959,0.850464742940477,1.02274945024555
"32",5.8,0.830074286482365,0.850282835840405,1.02274945024555
"33",6,0.829803903736906,0.85007057101047,1.02274945024555
