"Rolling_time_month" "q_id_month"
201301 0.7
201302 1.5
201303 1.8
201304 0.9
201305 1
201306 1.6
201307 0.8
201308 0.7
201309 0.6
201310 0.9
201311 1.6
201312 1.2
201401 0.7
201402 0.8
201403 0.7
201404 0.5
201405 0.4
201406 0.7
201407 0.6
201408 0.9
201409 0.8
201410 0.8
201411 1.1
201412 1
201501 0.6
201502 0.8
201503 0.6
201504 0.7
201505 0.5
201506 0.7
201507 0.5
201508 0.6
201509 1
201510 0.6
201511 0.4
201512 0.6
201601 0.7
201602 0.5
201603 0.8
201604 1
201605 1.2
201606 1
201607 0.8
201608 1
201609 0.7
201610 0.6
201611 1
201612 0.4
201701 0.8
201702 0.9
201703 0.8
201704 0.7
201705 1
201706 0.5
201707 0.9
201708 0.9
201709 0.7
201710 1.1
201711 0.9
201712 1
201801 0.9
201802 0.7
201803 0.5
201804 0.7
201805 0.9
201806 0.8
201807 0.8
201808 1.1
201809 1.1
201810 1.1
201811 0.9
201812 1.2
201901 1
201902 1.3
201903 1.6
201904 1.6
201905 1.3
201906 1
201907 1
201908 0.9
201909 0.7
201910 1.2
201911 1.8
201912 1.5
202001 1.6
202002 1.5
202003 1.8
202004 1.1
202005 0.9
202006 0.8
202007 1.1
202008 0.9
202009 0.7
202010 0.9
202011 0.9
202012 0.8
202101 1.1
202102 1.9
202103 1.7
202104 2.1
202105 2.1
202106 1.3
202107 1.3
202108 2
202109 2.4
202110 1.5
202111 1.1
202112 1.5
202201 0.8
202202 1
202203 1.2
202204 1.4
202205 1.4
202206 1.7
202207 0.8
202208 1.1
202209 0.8
202210 0.9
202211 1.1
202212 2.3
202301 0.9
202302 1.2
202303 0.8
202304 0.7
202305 0.9
202306 1.1
