"Rolling_time_month" "q_diag_month"
201301 0.606696233937717
201302 0.924374951488459
201303 0.661337131682577
201304 0.833817422719191
201305 0.580363912515543
201306 0.863346373541485
201307 0.706151948078914
201308 0.74279829359767
201309 0.747002098798359
201310 0.405211376932405
201311 0.919939266929108
201312 0.871273864135812
201401 0.62044858338051
201402 0.882875597062718
201403 0.487666762138087
201404 0.566032151926516
201405 0.369714428756751
201406 0.943388646688453
201407 0.520323208568394
201408 0.822446383361532
201409 0.732433106667281
201410 0.472245826222448
201411 0.371451737666174
201412 0.61028831018403
201501 0.497922724324233
201502 0.515843596053491
201503 0.591942170811534
201504 0.616538110739585
201505 0.544489882007223
201506 0.343519209587248
201507 0.559414179311711
201508 0.609788306129847
201509 0.559529146491699
201510 0.409659483099063
201511 0.641733478229737
201512 0.4530981423528
201601 0.506850629092186
201602 0.324028164729441
201603 0.438513922604529
201604 0.442884908915073
201605 0.312310854447205
201606 0.485021251091832
201607 0.29994380585839
201608 0.608625766774175
201609 0.504010170008484
201610 0.329937489254434
201611 0.583937191854479
201612 0.430420427281106
201701 0.501527511682253
201702 0.538305076698705
201703 0.590952772751258
201704 0.535116539368116
201705 0.449410606815878
201706 0.400905760653567
201707 0.418271442201398
201708 0.451073436612055
201709 0.44127209113662
201710 0.172884869997414
201711 0.47835168868156
201712 0.38433502455008
201801 0.391830346076429
201802 0.536939723347444
201803 0.24665281900106
201804 0.392837153121095
201805 0.41776441732318
201806 0.560241040770729
201807 0.428636181438038
201808 0.507174042956483
201809 0.461891060834591
201810 0.449745174339986
201811 0.52564045933396
201812 0.497211208993363
201901 0.497153101430591
201902 0.655831353983134
201903 0.583018654227958
201904 0.526996320619371
201905 0.555144462293516
201906 0.399859988576332
201907 0.385197980909031
201908 0.523188333800257
201909 0.507996947480833
201910 0.461920332828311
201911 0.555811093304953
201912 0.724258182724782
202001 0.525153560087722
202002 0.366788457889916
202003 0.232735403102487
202004 0.422647350670458
202005 0.320261745249752
202006 0.557261865717743
202007 0.579182284035569
202008 0.283497037189225
202009 0.682233131071232
202010 0.415589847810849
202011 0.513100118326921
202012 0.435932703680378
202101 0.581590020432743
202102 0.444860307494785
202103 0.461203840241864
202104 0.425979942572078
202105 0.652186588965829
202106 0.430404810655237
202107 0.608789231162766
202108 0.646268430113552
202109 0.541540104150771
202110 0.637305584733622
202111 0.572476482686309
202112 0.607262003127889
202201 0.331526515601868
202202 0.350967162653829
202203 0.492014048830178
202204 0.449159458780808
202205 0.462196129731453
202206 0.563052649250681
202207 0.382546283494192
202208 0.698764144367174
202209 0.508993974643913
202210 0.322815170788653
202211 0.598244721711775
202212 0.454246184979277
202301 0.468904849217626
202302 0.421028224457314
202303 0.740223737058739
202304 0.380416804500028
202305 0.394894959512645
202306 0.521007674517047
