"","","Optimal","standard","diag","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X3"
"1",201301,0.829312740151694,0.572308447793448,-0.0195681301863312,0.742165554715437,0.782566755003132,0.802266684888464,0.813736066541527,0.821136441933939,0.826062825544838,0.829310345124191,0.831474610043824,0.832866144060883,0.833693754099405,0.834123729237122,0.834260600199895,0.834163947017894,0.833897766267056,0.833496984238549,0.832994261762771,0.832404432368136,0.831746273140047,0.831033595458759,0.830279915179257,0.829490983715804,0.828687167744355,0.827867226969134,0.827029269816902,0.826179564018517,0.825324484172033,0.824461885833758,0.823601080929305,0.822743417676442,0.82189102367078
"2",201307,0.831447266059832,0.548324103135208,-0.00870660058560173,0.736494522552897,0.779997250353996,0.80130332736772,0.813855503946788,0.822067380110796,0.827676089443469,0.831535590169333,0.834248357957731,0.836136036069624,0.837427487564553,0.838281511316348,0.838800084643165,0.839050635029187,0.839103104307533,0.838989762630354,0.838742280861119,0.838380360062589,0.837933354980719,0.837414840773681,0.836836799365915,0.836205778128001,0.835545044332812,0.834851717869747,0.834122850470598,0.83336807583886,0.832595993852726,0.831803807046221,0.83100318528807,0.830197008015162,0.82939072797165
"3",201401,0.848281750566418,0.547548094514103,-0.00293651584582318,0.763121664679186,0.807796680229021,0.827733105099078,0.838489162584757,0.844914829027264,0.848862140762185,0.851215028390034,0.852604259947411,0.853340178455659,0.853599191100773,0.853519619103213,0.853192050499132,0.85267001690583,0.852012869665872,0.851242432812312,0.850381593430021,0.84945317588876,0.848484473663403,0.847487475745395,0.846461545863738,0.845410231776615,0.844351151082682,0.843283323893314,0.842206363179443,0.841122416058542,0.840039670159847,0.838954263088859,0.837875574379022,0.836805851237374,0.835749063252754
"4",201407,0.849037175050512,0.537934613061023,0.00737990048983417,0.764000941744726,0.80831890691297,0.827986012974344,0.838599563584255,0.84497962850923,0.848946434954949,0.851363654925778,0.852849757297247,0.853698655119323,0.85407270215208,0.854111489395073,0.85390908116063,0.853518986577964,0.852995243478064,0.852358197276164,0.851630484081376,0.850833331125302,0.84999098275092,0.849115250039127,0.848206271389995,0.847267153714799,0.846316165540774,0.845353916865017,0.84438066515295,0.843399456780207,0.842417337149953,0.841430386419504,0.840446395871918,0.839467963264141,0.838498949716258
"5",201501,0.875676762821559,0.548082297025683,0.000431712231423094,0.794129282471903,0.83941184941727,0.859203738993558,0.869904174132392,0.876468506422274,0.88065802892738,0.883334265402876,0.885092086737848,0.886211928492522,0.886845068595581,0.887142487294393,0.887202179686725,0.887068196064687,0.88679122313461,0.886399516404358,0.885913539262832,0.885347331548009,0.884724870673855,0.884061707845404,0.883359168996454,0.882621102986631,0.881868351006682,0.881099111720624,0.880315216266422,0.879516746568694,0.878713293661361,0.877901329818454,0.877086692411285,0.876272982142683,0.875465272621001
"6",201507,0.866222612456777,0.567342862821555,0.0342166512994301,0.786852253464509,0.82852396924209,0.847444114161071,0.858108150337892,0.864868618861442,0.869363862181628,0.872384048018384,0.874520494116266,0.876029906200526,0.877038972399287,0.877688091653774,0.878082304974183,0.878265002902695,0.878291848700476,0.878192509051171,0.877982130111274,0.877678925453015,0.877306610913536,0.87688257230103,0.876408159020778,0.875890147853258,0.875342824831069,0.874768508206262,0.874170948676307,0.873552294844055,0.87291814697018,0.872268037527552,0.871606115117905,0.870935685875864,0.870262835176661
"7",201601,0.93623664434242,0.60954305113392,0.0353699350421725,0.842447051073117,0.887213776077965,0.907872703613956,0.919479068145113,0.926698737612453,0.931382776894562,0.934489754214743,0.936593056167984,0.938001928198718,0.938846813446136,0.939275290106246,0.939404581108946,0.939298770122303,0.9390046698856,0.938578431716734,0.93803055590188,0.93739378346179,0.936683627754333,0.935924317074852,0.93511920029446,0.93427368414289,0.933391270775172,0.932482542255729,0.931558256118347,0.930620205121903,0.929666931815213,0.928703321467908,0.927726857742662,0.92674306839386,0.925762914878278
"8",201607,0.962827405976567,0.660317647424892,0.0441754240751715,0.883065402584659,0.92274083222222,0.940263582003466,0.949419807894731,0.954501734259603,0.957266704998408,0.958616355350977,0.95912251657004,0.95906852920653,0.958548573848004,0.957711551855234,0.956669246633107,0.955469460945844,0.95415068479896,0.952764489582986,0.951317545299953,0.949836314460575,0.948333441382658,0.946828444439741,0.945321373037156,0.943812522785609,0.942299554411336,0.940799610550419,0.939314845471152,0.937846943418338,0.936393038581691,0.934954526961828,0.933527543938061,0.9321133401422,0.930720618731424
"9",201701,0.983104215893252,0.67463141129876,0.0197834278699497,0.903697778034023,0.940881397853788,0.957308362720766,0.965814701454018,0.970276053501318,0.972486637138439,0.973303743716063,0.973242636238383,0.972591786145688,0.971492146516803,0.970100778363352,0.968503021172452,0.966748739827118,0.964893764282082,0.96298759779107,0.961037522922114,0.959055339477865,0.957059968565174,0.955066535011526,0.953081191225109,0.951098574692712,0.949121188697609,0.947165363916951,0.945227622970767,0.943314740132182,0.941422161092845,0.939547854651025,0.937689983536325,0.935851309377696,0.934038374001163
"10",201707,0.924165743650115,0.619476980604349,0.0264868496988161,0.840583339129144,0.879966229269474,0.898468760422086,0.908683437237437,0.914510855188282,0.917903501011468,0.919750743664485,0.920578257907443,0.92067445326744,0.920225038689134,0.919437542283199,0.918391867172773,0.91714771633945,0.915774480517712,0.914328982341266,0.91284759139065,0.911317438235599,0.909751458779976,0.90817829275349,0.90660323015783,0.905019927105393,0.903426248525446,0.901837222485853,0.900267836629484,0.898709102354961,0.897159248862475,0.895620459206032,0.894088381398492,0.892569584622028,0.891068867734457
