"Rolling_time_month" "q_diag_month"
201301 0.981625162829772
201302 1.82049667495243
201303 0.906088867597978
201304 1.06365867400211
201305 0.819450413739547
201306 0.541745898751547
201307 1.19908097888169
201308 1.30910582888254
201309 1.20392529301933
201310 0.648652985894826
201311 1.00023026635916
201312 1.38646225203367
201401 1.00264844758971
201402 1.3322512704503
201403 0.931420771704032
201404 0.999456841324724
201405 0.927065113871318
201406 1.17385485448203
201407 1.09638824443015
201408 1.06141638310158
201409 1.15337024747955
201410 0.969955639229149
201411 0.8108778440208
201412 0.748026073223849
201501 0.87343284723476
201502 0.615632365391311
201503 0.789190316190055
201504 0.46746465951698
201505 0.631001403315587
201506 0.55608431182422
201507 0.803420624189868
201508 0.513356361572872
201509 0.704981403066465
201510 0.657942510862802
201511 1.17228840659732
201512 0.720386272859787
201601 0.706736609045037
201602 0.538771994873113
201603 0.596047112991819
201604 0.51160269235523
201605 0.792254359953319
201606 0.615558306029044
201607 0.528373141476442
201608 0.720448597224439
201609 0.800525416094082
201610 0.426743387564248
201611 0.317621681693892
201612 0.667718980472973
201701 0.478609720411221
201702 0.713756698340927
201703 0.726708144028504
201704 0.421542871525993
201705 0.73534722571101
201706 0.568541283643225
201707 0.659477844267725
201708 0.652216210753886
201709 0.599292390996852
201710 0.319900221230737
201711 0.551800680523405
201712 0.450816132615887
201801 0.78355049878359
201802 0.449896749504232
201803 0.446656124219977
201804 0.570966536127504
201805 0.382590650936697
201806 0.596678027158315
201807 0.44292627038599
201808 0.59999822430252
201809 0.616522282431913
201810 0.446761946586978
201811 0.318838498322465
201812 0.493642198221411
201901 0.389972412336162
201902 0.469247885281452
201903 0.434627732319218
201904 0.488646871712056
201905 0.478638224993654
201906 0.467681705063274
201907 0.388828655420756
201908 0.548343285619851
201909 0.737880834313301
201910 0.289690748621702
201911 0.342908659010203
201912 0.354064562753288
202001 0.562202335593244
202002 0.500340891256793
202003 0.263602102432153
202004 0.342067180807723
202005 0.613419932520609
202006 0.435373706537574
202007 0.393583432375843
202008 0.475807361698626
202009 0.82066485230301
202010 0.3960107959029
202011 0.467371730617145
202012 0.336217884545653
202101 0.358028354606537
202102 0.294961188979149
202103 0.633169008824635
202104 0.502338635519834
202105 0.458635264925235
202106 0.271016037596173
202107 0.312120153500099
202108 0.550125152138418
202109 0.43930192447678
202110 0.343266245000315
202111 0.491024041449507
202112 0.321471070932714
202201 0.394944428568176
202202 0.382883985062081
202203 0.301042956788954
202204 0.501830485367405
202205 0.347587821437001
202206 0.380818469342524
202207 0.36645957243734
202208 0.508017930868985
202209 0.358300408348218
202210 0.294439366087271
202211 0.531962994439023
202212 0.473761902094366
202301 0.506242438619655
202302 0.400775407358381
202303 0.322321102235672
202304 0.352254050970311
202305 0.503541245422725
202306 0.53311485197772
