"","","Optimal","standard","diag","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X0.7","X0.8","X0.9","X1","X1.1","X1.2","X1.3","X1.4","X1.5","X1.6","X1.7","X1.8","X1.9","X2","X2.1","X2.2","X2.3","X2.4","X2.5","X2.6","X2.7","X2.8","X2.9","X3"
"sd1",201301,0.0552227360326764,0.0585729616680595,0.0161543469077034,0.0587327083075745,0.0576190430655886,0.0567947468768428,0.056175012794147,0.0556875329033021,0.0553398451250493,0.0550799891828588,0.0548812724484218,0.0547470117328981,0.0546533055058042,0.054588136610343,0.0545459431449044,0.0545162707923513,0.0545009058643365,0.0544986098404555,0.0545017095066945,0.0545113489424685,0.0545293144023362,0.0545538811198599,0.0545819861934585,0.0546200965313747,0.0546684430288095,0.0547275723586449,0.0547918002337839,0.0548612229288823,0.054931525685335,0.0550031686120057,0.0550752020856592,0.0551485000600443,0.0552227360326764
"sd2",201307,0.0511888185936868,0.0618593719454055,0.0209842761180158,0.0578112558211848,0.0549395251800174,0.0532199601428568,0.0520883142268913,0.0512766469916887,0.0507335290093195,0.0503818631581797,0.050158831652654,0.0500403250783489,0.0499736875726473,0.0499358668853369,0.0499223376126954,0.0499349402943206,0.0499725005781326,0.05002814320112,0.0500876125067249,0.0501474790090129,0.0502101908924017,0.0502779000847594,0.0503454781979594,0.0504165320642048,0.0504936354360972,0.0505823621571696,0.0506732825564983,0.0507655557643606,0.0508542828216502,0.0509410029053641,0.0510246420333823,0.0511067036924256,0.0511888185936868
"sd1",201401,0.01206131126304,0.00779436479167051,0.0158403696301147,0.00456867841753684,0.00349555600171028,0.00336430568036322,0.0035545769041302,0.00381737380638768,0.00418677963009527,0.00461800012730701,0.00505551308156259,0.00551746223185008,0.00597038751621721,0.00639315017928576,0.00679295184781951,0.00718798449658769,0.00757264519316758,0.00794943577131971,0.00830736293285715,0.00864487980802789,0.00897389312400699,0.00928622908350471,0.0095803609772651,0.00986296855758616,0.010138258889304,0.0104105861459096,0.0106754786613913,0.0109326047829366,0.0111765713637244,0.0114100651450223,0.0116334938508462,0.0118498214432191,0.01206131126304
"sd2",201407,0.0365878685089631,0.0250070966867829,-0.00464198131512105,0.0219224429845915,0.0218394505938193,0.0225351084153234,0.0234133981351401,0.0242397170917574,0.0250794645417508,0.0258900056714682,0.0266486769987743,0.0273943807218932,0.0280878871535645,0.028727733222122,0.0293325397170419,0.0299193108824663,0.0304786445719732,0.0310173693058317,0.0315239247506143,0.031990916003107,0.0324408739654656,0.0328711348785507,0.0332738788179695,0.0336601211711526,0.0340324458276966,0.0343951296692524,0.0347459920339869,0.0350867298084995,0.0354119451489363,0.0357213121262595,0.0360177199045598,0.0363053754675511,0.0365878685089631
"sd1",201501,0.0335879238534121,0.00100266025445221,0.00046030522561958,0.0079830063859746,0.0119260532062648,0.0147784357229948,0.0169976532281097,0.0186968887632016,0.0201384183364031,0.0213696309709117,0.0224423060180752,0.0234313723667779,0.0243129364567914,0.025101791408101,0.0258231256744638,0.0265000526770562,0.0271347653448722,0.0277342958441851,0.0282913978052199,0.0288009788035424,0.0292873403541247,0.0297451040472904,0.030170944798942,0.0305768728789324,0.030966546645971,0.0313426774641562,0.0317045250663325,0.0320532726703438,0.0323860818135934,0.0327027250754648,0.0330062174089164,0.0333004702316895,0.0335879238534121
"sd2",201507,0.030085312300716,-0.000879894143959884,-0.0188708277020955,0.00516169294874583,0.0087315207358397,0.0114893043019449,0.0137255359055719,0.0154649077130199,0.0169358636606321,0.018187879952741,0.0192872157080709,0.0202980859090072,0.0211849677754512,0.0219696195632048,0.0226820343777686,0.0233517663383055,0.0239764248109766,0.0245620181043554,0.0251075633881529,0.0256085073739923,0.0260814966259747,0.0265257594144758,0.0269389533515885,0.0273289393376434,0.0276979271263496,0.0280500505447002,0.0283856826644005,0.0287057587625552,0.0290095622186963,0.0292957773650285,0.0295681707736684,0.0298309536416863,0.030085312300716
"sd1",201601,0.00376162049787477,-0.0369430026060288,-0.0225635618637228,-0.0269042788367037,-0.0215913767182516,-0.0179135957103454,-0.0150873936814017,-0.0129372578027629,-0.0111656769464968,-0.00969389976447102,-0.00841558744020361,-0.0072587946679488,-0.00625657853574045,-0.00537195647826307,-0.00456844754930062,-0.00381472031944659,-0.00311463215722232,-0.00246163163228939,-0.00185155400556425,-0.00128901403337045,-0.000758899909406704,-0.000261019847727996,0.000204338509199242,0.000640306755329724,0.00105445950657894,0.0014500075880988,0.00182532180612527,0.00218559439405799,0.0025286218745042,0.0028548415967155,0.00316671077572242,0.00346868975232722,0.00376162049787477
"sd2",201607,0.0140909182405312,-0.0346070390645389,-0.0239413185565589,-0.0183913618525151,-0.0114485807906949,-0.00720879100845485,-0.00413807250027093,-0.00185519290944778,-4.6922220961768e-05,0.00140781220648988,0.00263743654282798,0.00372646084183832,0.0046662860705707,0.00550060106993009,0.00625399967660235,0.00695604475543441,0.00760018535834989,0.00819291659320509,0.00874915169587012,0.00925477000404354,0.00973462468211279,0.0101844263365554,0.0106083544987468,0.0110159012864659,0.011409590416607,0.0117853990997686,0.0121461600101325,0.0124952156354315,0.0128316957742503,0.0131574856415461,0.0134748585585099,0.0137868104283256,0.0140909182405312
"sd1",201701,0.0348259753112128,-0.0191880359852038,-0.0237435992461417,0.0038826870045073,0.0122880330011512,0.0168127914626701,0.0197833623568436,0.0219119746921636,0.0235231782999721,0.0247682703393438,0.0258101656961214,0.0267039748278822,0.0274444634343161,0.0280929472881578,0.0286794884645567,0.0292243066977218,0.0297181992633781,0.030170141225514,0.030597421811007,0.0309866404516971,0.0313552343850365,0.0317055891811436,0.0320373263431489,0.0323591048509603,0.0326730818822431,0.0329715745128789,0.0332579029420458,0.0335360886801982,0.0338073937565546,0.0340709572468854,0.0343276610971256,0.0345803231722146,0.0348259753112128
"sd2",201707,0.0352406915507304,-0.0206865770125842,0.0103183459586937,0.00573186502689653,0.0152263092119306,0.0202860986802618,0.0235293834655405,0.0258081198531398,0.0274801784455454,0.0287465014055946,0.0297578503783873,0.0305729103614451,0.0312229853014713,0.0317593949347415,0.0322171461061944,0.0326155693588111,0.0329515590759069,0.033235475773439,0.0334877582127021,0.0337069561946163,0.0339038621327734,0.0340780729997232,0.0342347328438902,0.0343795382288025,0.0345157869009544,0.0346351322305431,0.034741951713283,0.0348391652815906,0.0349298202806704,0.0350151629721108,0.0350947929408108,0.0351709964512969,0.0352406915507304
