"Rolling_time_month" "q_diag_month"
201301 0.617300739962067
201302 0.544486716788586
201303 0.507528793328683
201304 0.513525646997259
201305 0.505741426600482
201306 0.463737406412554
201307 0.447045042694324
201308 0.456643032118448
201309 0.490134086578017
201310 0.477824383106454
201311 0.468304225975875
201312 0.5006030095291
201401 0.531198354515289
201402 0.446129233596781
201403 0.429057885241956
201404 0.43345729781489
201405 0.42583643699863
201406 0.429821394625589
201407 0.397604285452604
201408 0.383600346738795
201409 0.394889565548497
201410 0.339185882458993
201411 0.316352293934163
201412 0.364284749792534
201501 0.374644705619758
201502 0.347523315380639
201503 0.363733488908441
201504 0.340037620373587
201505 0.381391487086508
201506 0.393090570034133
201507 0.382397194597893
201508 0.401246642940024
201509 0.352437824970627
201510 0.335355098641189
201511 0.333242781431871
201512 0.353527719551773
201601 0.337238081426391
201602 0.320069688508479
201603 0.321212198869276
201604 0.377188658893031
201605 0.382548199939715
201606 0.349342666127036
201607 0.342228734838342
201608 0.332561005424847
201609 0.337452911072542
201610 0.326250067076189
201611 0.309303537426225
201612 0.279175489012838
201701 0.318419126783857
201702 0.316419966348669
201703 0.315887623651707
201704 0.301793557438634
201705 0.267291419357136
201706 0.274989971554204
201707 0.264913282180128
201708 0.271548529089187
201709 0.279624481682871
201710 0.261638242010229
201711 0.289758227101776
201712 0.298758443052227
201801 0.297828087032086
201802 0.284232609826672
201803 0.254311557986879
201804 0.271456031348209
201805 0.291513991182325
201806 0.305113230301349
201807 0.304489118686155
201808 0.344277543707928
201809 0.34599582478018
201810 0.316064814715784
201811 0.290046920709032
201812 0.299330001676595
201901 0.273970619524862
201902 0.326154540282175
201903 0.348691340737662
201904 0.342944845380517
201905 0.355025086940904
201906 0.364217828798559
201907 0.375854604400997
201908 0.399832794486547
201909 0.413085158166378
201910 0.37691086833846
201911 0.400892673601935
201912 0.386755861879573
202001 0.401922643933873
202002 0.349678461804477
202003 0.295344246364318
202004 0.229041484531802
202005 0.273471735817701
202006 0.257294214410211
202007 0.249830669820357
202008 0.264928025497076
202009 0.276188965240888
202010 0.271340367592817
202011 0.305376411935197
202012 0.268636058558142
202101 0.290209926992382
202102 0.284968889506222
202103 0.314010301220049
202104 0.318785667527941
202105 0.357160313398543
202106 0.340693331187532
202107 0.363281133093457
202108 0.365349712875028
202109 0.371245456520402
202110 0.355818902120444
202111 0.359203902009011
202112 0.324495490503246
202201 0.342901428143403
202202 0.346998531067641
202203 0.34906195315272
202204 0.333830200084769
202205 0.346008846155644
202206 0.334778508514389
202207 0.330330760489271
202208 0.365981861566617
202209 0.419330776163966
202210 0.382787363636256
202211 0.376334608795266
202212 0.359682017268023
202301 0.406499783193353
202302 0.400614533011124
202303 0.384583051667052
202304 0.398332698929183
202305 0.428641603050515
202306 0.440195404626584
