"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.34334655513445,3.07234722134734
"2",0.4,3.32241518148246,3.05286552405371
"3",0.6,3.30384327307888,3.0357443450175
"4",0.8,3.28763082992371,3.02098368423875
"5",1,3.27377785201691,3.00858354171765
"6",1.2,3.2622843393585,2.99854391745406
"7",1.4,3.2531502919485,2.99086481144798
"8",1.6,3.24637570978688,2.9855462236995
"9",1.8,3.24196059287367,2.9825881542085
"10",2,3.23990494120883,2.98199060297506
"11",2.2,3.2402087547924,2.98375356999907
"12",2.4,3.24287203362436,2.98787705528071
"13",2.6,3.24789477770471,2.9943610588198
"14",2.8,3.25527698703346,3.00320558061648
"15",3,3.2650186616106,3.01441062067074
"16",3.2,3.27711980143613,3.02797617898248
"17",3.4,3.29158040651007,3.04390225555168
"18",3.6,3.30840047683239,3.06218885037858
"19",3.8,3.3275800124031,3.08283596346286
"20",4,3.3491190132222,3.10584359480471
"21",4.2,3.37301747928971,3.13121174440417
"22",4.4,3.39927541060561,3.15894041226113
"23",4.6,3.42789280716988,3.18902959837557
"24",4.8,3.45886966898258,3.2214793027476
"25",5,3.49220599604365,3.25628952537714
"26",5.2,3.52790178835311,3.29346026626421
"27",5.4,3.56595704591098,3.33299152540884
"28",5.6,3.60637176871724,3.37488330281097
"29",5.8,3.64914595677189,3.41913559847067
"30",6,3.69427961007493,3.46574841238791
