"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.39426456377424,3.44826573731962
"2",0.4,3.37484340063571,3.43153484878252
"3",0.6,3.35787187517163,3.41718249980556
"4",0.8,3.34334998738199,3.4052086903887
"5",1,3.3312777372668,3.39561342053199
"6",1.2,3.32165512482606,3.38839669023545
"7",1.4,3.31448215005979,3.38355849949896
"8",1.6,3.30975881296797,3.38109884832274
"9",1.8,3.30748511355057,3.38101773670656
"10",2,3.30766105180765,3.38331516465059
"11",2.2,3.31028662773918,3.38799113215473
"12",2.4,3.31536184134515,3.39504563921905
"13",2.6,3.32288669262557,3.40447868584342
"14",2.8,3.33286118158045,3.41629027202801
"15",3,3.34528530820977,3.43048039777274
"16",3.2,3.36015907251355,3.44704906307753
"17",3.4,3.37748247449177,3.46599626794256
"18",3.6,3.39725551414446,3.48732201236771
"19",3.8,3.41947819147158,3.51102629635292
"20",4,3.44415050647316,3.53710911989838
"21",4.2,3.4712724591492,3.56557048300401
"22",4.4,3.50084404949968,3.59641038566966
"23",4.6,3.53286527752462,3.62962882789541
"24",4.8,3.567336143224,3.66522580968149
"25",5,3.60425664659784,3.70320133102757
"26",5.2,3.64362678764612,3.74355539193383
"27",5.4,3.68544656636885,3.78628799240033
"28",5.6,3.72971598276604,3.83139913242686
"29",5.8,3.77643503683767,3.87888881201355
"30",6,3.82560372858376,3.92875703116035
