"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.35077057117714,3.08738730111721
"2",0.4,3.33022974860428,3.070645530978
"3",0.6,3.31210588627796,3.05623449166013
"4",0.8,3.29639898419815,3.04415418316386
"5",1,3.28310904236491,3.03440460548891
"6",1.2,3.27223606077819,3.02698575863541
"7",1.4,3.263780039438,3.02189764260339
"8",1.6,3.25774097834436,3.01914025739277
"9",1.8,3.25411887749724,3.01871360300355
"10",2,3.25291373689668,3.02061767943584
"11",2.2,3.25412555654264,3.02485248668948
"12",2.4,3.25775433643513,3.03141802476456
"13",2.6,3.26380007657416,3.04031429366111
"14",2.8,3.27226277695973,3.05154129337908
"15",3,3.28314243759184,3.06509902391841
"16",3.2,3.29643905847048,3.08098748527923
"17",3.4,3.31215263959566,3.09920667746155
"18",3.6,3.33028318096738,3.11975660046526
"19",3.8,3.35083068258562,3.14263725429029
"20",4,3.3737951444504,3.16784863893688
"21",4.2,3.39917656656172,3.19539075440479
"22",4.4,3.42697494891958,3.2252636006944
"23",4.6,3.45719029152398,3.2574671778052
"24",4.8,3.48982259437491,3.2920014857375
"25",5,3.52487185747237,3.32886652449107
"26",5.2,3.56233808081638,3.36806229406634
"27",5.4,3.60222126440691,3.40958879446289
"28",5.6,3.64452140824398,3.45344602568092
"29",5.8,3.6892385123276,3.49963398772034
"30",6,3.73637257665773,3.54815268058125
