"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.31661978608282,3.52699136726212
"2",0.4,3.29534720600012,3.49884977505753
"3",0.6,3.27644679608327,3.473398023408
"4",0.8,3.25991855633222,3.4506361123137
"5",1,3.245762486747,3.43056404177433
"6",1.2,3.2339785873276,3.41318181179003
"7",1.4,3.22456685807403,3.39848942236086
"8",1.6,3.21752729898628,3.3864868734868
"9",1.8,3.21285991006436,3.37717416516772
"10",2,3.21056469130826,3.3705512974038
"11",2.2,3.21064164271799,3.36661827019492
"12",2.4,3.21309076429353,3.3653750835411
"13",2.6,3.2179120560349,3.36682173744246
"14",2.8,3.2251055179421,3.37095823189877
"15",3,3.23467115001512,3.37778456691016
"16",3.2,3.24660895225397,3.38730074247677
"17",3.4,3.26091892465864,3.39950675859833
"18",3.6,3.27760106722913,3.41440261527493
"19",3.8,3.29665537996544,3.43198831250676
"20",4,3.3180818628676,3.45226385029359
"21",4.2,3.34188051593556,3.47522922863552
"22",4.4,3.36805133916935,3.50088444753255
"23",4.6,3.39659433256896,3.52922950698461
"24",4.8,3.42750949613441,3.56026440699167
"25",5,3.46079682986566,3.59398914755396
"26",5.2,3.49645633376274,3.63040372867132
"27",5.4,3.53448800782566,3.6695081503437
"28",5.6,3.5748918520544,3.71130241257109
"29",5.8,3.61766786644895,3.75578651535358
"30",6,3.66281605100934,3.80296045869117
