"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.36520786647192,3.03238151237667
"2",0.4,3.34271853913005,3.0107462903686
"3",0.6,3.32276545296217,2.99166184040971
"4",0.8,3.30534860796828,2.97512816250004
"5",1,3.29046800414835,2.96114525663939
"6",1.2,3.27812364150242,2.94971312282793
"7",1.4,3.26831552003046,2.94083176106569
"8",1.6,3.26104363973249,2.93450117135261
"9",1.8,3.25630800060849,2.9307213536886
"10",2,3.25410860265847,2.92949230807366
"11",2.2,3.25444544588243,2.93081403450799
"12",2.4,3.25731853028038,2.9346865329915
"13",2.6,3.26272785585231,2.94110980352406
"14",2.8,3.27067342259821,2.95008384610589
"15",3,3.28115523051811,2.96160866073684
"16",3.2,3.29417327961198,2.97568424741682
"17",3.4,3.30972756987983,2.99231060614595
"18",3.6,3.32781810132165,3.01148773692444
"19",3.8,3.34844487393745,3.03321563975199
"20",4,3.37160788772724,3.05749431462859
"21",4.2,3.39730714269101,3.08432376155437
"22",4.4,3.42554263882876,3.11370398052937
"23",4.6,3.45631437614049,3.1456349715535
"24",4.8,3.4896223546262,3.18011673462671
"25",5,3.52546657428588,3.21714926974911
"26",5.2,3.56384703511958,3.2567325769207
"27",5.4,3.60476373712722,3.29886665614141
"28",5.6,3.64821668030886,3.34355150741125
"29",5.8,3.69420586466447,3.39078713073031
"30",6,3.74273129019406,3.44057352609839
