"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.42913289247454,3.17027653025147
"2",0.4,3.39035386339797,3.15172216500925
"3",0.6,3.35609855538093,3.1369309995634
"4",0.8,3.32636696842343,3.12590303391385
"5",1,3.30115910252548,3.11863826806072
"6",1.2,3.28047495768708,3.11513670200398
"7",1.4,3.2643145339082,3.11539833574348
"8",1.6,3.25267783118889,3.11942316927942
"9",1.8,3.2455648495291,3.12721120261168
"10",2,3.24297558892886,3.1387624357403
"11",2.2,3.24491004938817,3.15407686866523
"12",2.4,3.25136823090702,3.17315450138656
"13",2.6,3.2623501334854,3.1959953339042
"14",2.8,3.27785575712333,3.2225993662182
"15",3,3.29788510182081,3.25296659832861
"16",3.2,3.32243816757783,3.28709703023532
"17",3.4,3.35151495439438,3.3249906619384
"18",3.6,3.38511546227049,3.36664749343782
"19",3.8,3.42323969120613,3.41206752473363
"20",4,3.46588764120132,3.46125075582577
"21",4.2,3.51305931225605,3.51419718671426
"22",4.4,3.56475470437032,3.57090681739912
"23",4.6,3.62097381754413,3.63137964788023
"24",4.8,3.68171665177749,3.69561567815785
"25",5,3.74698320707039,3.7636149082317
"26",5.2,3.81677348342283,3.83537733810195
"27",5.4,3.89108748083483,3.9109029677686
"28",5.6,3.96992519930634,3.99019179723162
"29",5.8,4.05328663883741,4.07324382649079
"30",6,4.14117179942803,4.16005905554649
