"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.27167783057537,3.282949800356
"2",0.4,3.25343188082865,3.26412141724041
"3",0.6,3.23749746655485,3.24764136704368
"4",0.8,3.22387458775393,3.23350964976583
"5",1,3.21256324442595,3.22172626540675
"6",1.2,3.20356343657086,3.21229121396654
"7",1.4,3.19687516418866,3.2052044954451
"8",1.6,3.19249842727938,3.20046610984256
"9",1.8,3.190433225843,3.19807605715882
"10",2,3.19067955987951,3.198034337394
"11",2.2,3.19323742938894,3.20034095054804
"12",2.4,3.19810683437127,3.20499589662083
"13",2.6,3.2052877748265,3.21199917561253
"14",2.8,3.21478025075461,3.22135078752289
"15",3,3.22658426215565,3.23305073235217
"16",3.2,3.2406998090296,3.24709901010049
"17",3.4,3.25712689137644,3.26349562076738
"18",3.6,3.27586550919617,3.28224056435331
"19",3.8,3.29691566248884,3.30333384085801
"20",4,3.32027735125439,3.32677545028161
"21",4.2,3.34595057549285,3.35256539262406
"22",4.4,3.3739353352042,3.38070366788519
"23",4.6,3.40423163038848,3.41119027606525
"24",4.8,3.43683946104564,3.4440252171642
"25",5,3.4717588271757,3.47920849118202
"26",5.2,3.50898972877868,3.51674009811853
"27",5.4,3.54853216585453,3.55662003797395
"28",5.6,3.59038613840332,3.59884831074825
"29",5.8,3.63455164642502,3.64342491644129
"30",6,3.6810286899196,3.69034985505313
