"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.65165739971792,3.62020509666586
"2",0.4,3.6105825136232,3.57077174714116
"3",0.6,3.57401352790255,3.52667154507869
"4",0.8,3.54195044255601,3.48790449047839
"5",1,3.51439325758354,3.45447058334016
"6",1.2,3.49134197298518,3.42636982366422
"7",1.4,3.47279658876089,3.40360221145032
"8",1.6,3.45875710491068,3.38616774669867
"9",1.8,3.44922352143458,3.37406642940915
"10",2,3.44419583833255,3.36729825958184
"11",2.2,3.44367405560461,3.36586323721669
"12",2.4,3.44765817325076,3.36976136231368
"13",2.6,3.456148191271,3.37899263487288
"14",2.8,3.46914410966532,3.3935570548942
"15",3,3.48664592843373,3.41345462237769
"16",3.2,3.50865364757623,3.43868533732333
"17",3.4,3.53516726709282,3.46924919973118
"18",3.6,3.5661867869835,3.50514620960116
"19",3.8,3.60171220724826,3.54637636693337
"20",4,3.64174352788711,3.59293967172771
"21",4.2,3.68628074890005,3.64483612398425
"22",4.4,3.73532387028707,3.70206572370285
"23",4.6,3.78887289204818,3.76462847088373
"24",4.8,3.84692781418338,3.83252436552668
"25",5,3.90948863669266,3.90575340763195
"26",5.2,3.97655535957604,3.98431559719923
"27",5.4,4.0481279828335,4.0682109342287
"28",5.6,4.12420650646506,4.15743941872044
"29",5.8,4.20479093047069,4.25200105067421
"30",6,4.28988125485042,4.35189583009033
