"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.321963370986,3.32461641728909
"2",0.4,3.29251499686038,3.28129239200987
"3",0.6,3.26626069874926,3.24128654810164
"4",0.8,3.24320047665263,3.20459888556428
"5",1,3.2233343305705,3.17122940439781
"6",1.2,3.20666226050287,3.14117810460223
"7",1.4,3.19318426644972,3.11444498617749
"8",1.6,3.18290034841108,3.09103004912365
"9",1.8,3.17581050638692,3.07093329344079
"10",2,3.17191474037726,3.05415471912868
"11",2.2,3.17121305038209,3.04069432618762
"12",2.4,3.17370543640143,3.0305521146173
"13",2.6,3.17939189843525,3.02372808441795
"14",2.8,3.18827243648357,3.02022223558951
"15",3,3.20034705054638,3.02003456813189
"16",3.2,3.21561574062367,3.0231650820452
"17",3.4,3.23407850671549,3.0296137773294
"18",3.6,3.25573534882177,3.03938065398451
"19",3.8,3.28058626694257,3.05246571201056
"20",4,3.30863126107785,3.0688689514074
"21",4.2,3.33987033122763,3.08859037217523
"22",4.4,3.3743034773919,3.11162997431388
"23",4.6,3.41193069957067,3.13798775782342
"24",4.8,3.45275199776392,3.16766372270383
"25",5,3.49676737197169,3.20065786895524
"26",5.2,3.54397682219393,3.23697019657744
"27",5.4,3.59438034843068,3.27660070557057
"28",5.6,3.64797795068192,3.31954939593473
"29",5.8,3.70476962894765,3.36581626766951
"30",6,3.76475538322787,3.41540132077532
