"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.37095321306131,3.4979372052957
"2",0.4,3.35081186647631,3.48580369478955
"3",0.6,3.33312393544404,3.47594191492755
"4",0.8,3.31788941996449,3.46835186570961
"5",1,3.30510832003768,3.46303354713593
"6",1.2,3.29478063566358,3.45998695920618
"7",1.4,3.28690636684222,3.45921210192064
"8",1.6,3.28148551357359,3.46070897527921
"9",1.8,3.27851807585767,3.46447757928187
"10",2,3.27800405369449,3.47051791392866
"11",2.2,3.27994344708404,3.47882997921959
"12",2.4,3.28433625602632,3.48941377515462
"13",2.6,3.29118248052132,3.50226930173374
"14",2.8,3.30048212056905,3.51739655895697
"15",3,3.31223517616951,3.53479554682434
"16",3.2,3.3264416473227,3.55446626533575
"17",3.4,3.34310153402861,3.5764087144914
"18",3.6,3.36221483628725,3.60062289429106
"19",3.8,3.38378155409862,3.62710880473488
"20",4,3.40780168746273,3.65586644582282
"21",4.2,3.43427523637954,3.68689581755486
"22",4.4,3.4632022008491,3.72019691993107
"23",4.6,3.49458258087138,3.75576975295138
"24",4.8,3.52841637644639,3.79361431661569
"25",5,3.56470358757413,3.83373061092425
"26",5.2,3.60344421425459,3.87611863587678
"27",5.4,3.64463825648779,3.92077839147357
"28",5.6,3.6882857142737,3.96770987771445
"29",5.8,3.73438658761235,4.01691309459933
"30",6,3.78294087650371,4.06838804212827
