"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.48392434400142,3.63958120511142
"2",0.4,3.44060119862255,3.58717375552681
"3",0.6,3.40197772060856,3.53929154101151
"4",0.8,3.36805390995946,3.49593456156542
"5",1,3.33882976667526,3.45710281718865
"6",1.2,3.31430529075592,3.42279630788118
"7",1.4,3.29448048220147,3.39301503364296
"8",1.6,3.27935534101191,3.36775899447405
"9",1.8,3.26892986718723,3.34702819037438
"10",2,3.26320406072744,3.33082262134405
"11",2.2,3.26217792163252,3.3191422873829
"12",2.4,3.26585144990249,3.31198718849109
"13",2.6,3.27422464553734,3.30935732466855
"14",2.8,3.28729750853707,3.31125269591529
"15",3,3.30507003890169,3.31767330223135
"16",3.2,3.32754223663119,3.3286191436167
"17",3.4,3.35471410172558,3.34409022007126
"18",3.6,3.38658563418484,3.36408653159512
"19",3.8,3.42315683400899,3.38860807818829
"20",4,3.46442770119803,3.41765485985071
"21",4.2,3.51039823575194,3.45122687658244
"22",4.4,3.56106843767074,3.48932412838341
"23",4.6,3.61643830695442,3.53194661525368
"24",4.8,3.67650784360299,3.57909433719324
"25",5,3.74127704761644,3.63076729420211
"26",5.2,3.81074591899478,3.68696548628019
"27",5.4,3.88491445773799,3.74768891342761
"28",5.6,3.96378266384609,3.81293757564432
"29",5.8,4.04735053731907,3.88271147293024
"30",6,4.13561807815694,3.95701060528549
