"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.52374260040366,3.62458557828491
"2",0.4,3.49960988364073,3.59995789708838
"3",0.6,3.47796158084212,3.57774668353045
"4",0.8,3.45879769200787,3.55795193761114
"5",1,3.44211821713796,3.54057365933051
"6",1.2,3.42792315623238,3.52561184868845
"7",1.4,3.41621250929116,3.51306650568501
"8",1.6,3.40698627631428,3.50293763032025
"9",1.8,3.40024445730174,3.49522522259411
"10",2,3.39598705225355,3.48992928250656
"11",2.2,3.3942140611697,3.48704981005768
"12",2.4,3.3949254840502,3.48658680524737
"13",2.6,3.39812132089503,3.48854026807567
"14",2.8,3.40380157170422,3.49291019854267
"15",3,3.41196623647775,3.49969659664823
"16",3.2,3.42261531521561,3.5088994623924
"17",3.4,3.43574880791782,3.52051879577529
"18",3.6,3.45136671458438,3.5345545967967
"19",3.8,3.46946903521528,3.5510068654568
"20",4,3.49005576981053,3.56987560175548
"21",4.2,3.51312691837012,3.59116080569282
"22",4.4,3.53868248089404,3.61486247726872
"23",4.6,3.56672245738233,3.64098061648328
"24",4.8,3.59724684783494,3.6695152233365
"25",5,3.6302556522519,3.7004662978283
"26",5.2,3.66574887063321,3.73383383995877
"27",5.4,3.70372650297888,3.76961784972782
"28",5.6,3.74418854928887,3.80781832713551
"29",5.8,3.78713500956319,3.8484352721818
"30",6,3.83256588380188,3.89146868486671
