"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.34335441339442,3.10566798213895
"2",0.4,3.3214157266211,3.0837653024548
"3",0.6,3.30200101641924,3.06446507006846
"4",0.8,3.28511028278876,3.04776728497972
"5",1,3.27074352572974,3.03367194718891
"6",1.2,3.25890074524214,3.02217905669576
"7",1.4,3.24958194132598,3.01328861350036
"8",1.6,3.24278711398123,3.00700061760271
"9",1.8,3.23851626320793,3.00331506900277
"10",2,3.23676938900606,3.00223196770056
"11",2.2,3.23754649137561,3.00375131369612
"12",2.4,3.24084757031658,3.00787310698947
"13",2.6,3.24667262582901,3.01459734758051
"14",2.8,3.25502165791284,3.02392403546929
"15",3,3.26589466656812,3.03585317065584
"16",3.2,3.27929165179483,3.05038475314016
"17",3.4,3.29521261359295,3.06751878292223
"18",3.6,3.31365755196252,3.08725526000198
"19",3.8,3.3346264669035,3.10959418437956
"20",4,3.35811935841593,3.1345355560548
"21",4.2,3.38413622649978,3.16207937502782
"22",4.4,3.41267707115506,3.19222564129857
"23",4.6,3.44374189238177,3.2249743548671
"24",4.8,3.47733069017992,3.26032551573341
"25",5,3.51344346454948,3.29827912389735
"26",5.2,3.5520802154905,3.33883517935911
"27",5.4,3.59324094300291,3.38199368211861
"28",5.6,3.63692564708678,3.42775463217581
"29",5.8,3.68313432774208,3.47611802953078
"30",6,3.73186698496879,3.52708387418354
