"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.38150981711191,3.3212154008011
"2",0.4,3.36106339234811,3.29826932176197
"3",0.6,3.34295667526623,3.27763929575388
"4",0.8,3.32718966586623,3.25932532277728
"5",1,3.31376236414816,3.24332740283183
"6",1.2,3.30267477011197,3.22964553591754
"7",1.4,3.29392688375771,3.21827972203457
"8",1.6,3.28751870508534,3.2092299611828
"9",1.8,3.28345023409488,3.2024962533623
"10",2,3.28172147078635,3.19807859857311
"11",2.2,3.28233241515969,3.1959769968152
"12",2.4,3.28528306721495,3.19619144808836
"13",2.6,3.29057342695211,3.19872195239302
"14",2.8,3.2982034943712,3.20356850972878
"15",3,3.30817326947216,3.21073112009567
"16",3.2,3.32048275225504,3.22020978349393
"17",3.4,3.33513194271982,3.23200449992357
"18",3.6,3.35212084086652,3.24611526938433
"19",3.8,3.37144944669512,3.26254209187635
"20",4,3.39311776020563,3.28128496739944
"21",4.2,3.41712578139804,3.30234389595395
"22",4.4,3.44347351027233,3.32571887753979
"23",4.6,3.47216094682857,3.35140991215643
"24",4.8,3.50318809106669,3.3794169998049
"25",5,3.53655494298671,3.40974014048425
"26",5.2,3.57226150258866,3.44237933419513
"27",5.4,3.61030776987249,3.47733458093718
"28",5.6,3.65069374483824,3.51460588071039
"29",5.8,3.6934194274859,3.55419323351482
"30",6,3.73848481781545,3.59609663935049
