"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.4946034279766,3.7454036455966
"2",0.4,3.46915949176377,3.72833184885858
"3",0.6,3.44699740077072,3.71453697705547
"4",0.8,3.42811715499746,3.70401903018744
"5",1,3.41251875444399,3.69677800825438
"6",1.2,3.40020219911029,3.69281391125632
"7",1.4,3.39116748899639,3.69212673919331
"8",1.6,3.38541462410228,3.69471649206519
"9",1.8,3.38294360442795,3.70058316987211
"10",2,3.38375442997341,3.7097267726141
"11",2.2,3.38784710073866,3.72214730029108
"12",2.4,3.39522161672369,3.73784475290299
"13",2.6,3.40587797792851,3.75681913044997
"14",2.8,3.41981618435312,3.77907043293191
"15",3,3.43703623599751,3.80459866034886
"16",3.2,3.45753813286169,3.83340381270085
"17",3.4,3.48132187494566,3.86548588998778
"18",3.6,3.50838746224941,3.90084489220972
"19",3.8,3.53873489477295,3.93948081936667
"20",4,3.57236417251627,3.98139367145864
"21",4.2,3.60927529547938,4.02658344848554
"22",4.4,3.64946826366229,4.07505015044759
"23",4.6,3.69294307706497,4.12679377734453
"24",4.8,3.73969973568744,4.1818143291765
"25",5,3.78973823952971,4.24011180594338
"26",5.2,3.84305858859176,4.30168620764539
"27",5.4,3.89966078287359,4.36653753428234
"28",5.6,3.9595448223752,4.43466578585429
"29",5.8,4.0227107070966,4.50607096236125
"30",6,4.0891584370378,4.58075306380315
