"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.28709323994266,3.08214045218848
"2",0.4,3.25929223248761,3.05700790462808
"3",0.6,3.23473065576932,3.0347911019347
"4",0.8,3.21340850978778,3.01549004410841
"5",1,3.195325794543,2.99910473114903
"6",1.2,3.18048251003497,2.98563516305686
"7",1.4,3.16887865626369,2.97508133983171
"8",1.6,3.16051423322917,2.96744326147348
"9",1.8,3.15538924093141,2.96272092798241
"10",2,3.15350367937041,2.96091433935828
"11",2.2,3.15485754854616,2.96202349560119
"12",2.4,3.15945084845867,2.96604839671124
"13",2.6,3.16728357910793,2.97298904268826
"14",2.8,3.17835574049394,2.98284543353229
"15",3,3.19266733261671,2.99561756924338
"16",3.2,3.21021835547624,3.01130544982153
"17",3.4,3.23100880907253,3.0299090752667
"18",3.6,3.25503869340557,3.05142844557889
"19",3.8,3.28230800847536,3.07586356075815
"20",4,3.31281675428191,3.10321442080446
"21",4.2,3.34656493082522,3.13348102571781
"22",4.4,3.38355253810529,3.16666337549816
"23",4.6,3.4237795761221,3.20276147014554
"24",4.8,3.46724604487568,3.24177530966
"25",5,3.51395194436601,3.28370489404146
"26",5.2,3.56389727459309,3.32855022329
"27",5.4,3.61708203555694,3.37631129740554
"28",5.6,3.67350622725753,3.42698811638815
"29",5.8,3.73316984969489,3.48058068023772
"30",6,3.796072902869,3.53708898895438
