"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.40058689424247,3.44599864446251
"2",0.4,3.3795992770926,3.42603881516138
"3",0.6,3.36094540716278,3.40833094701995
"4",0.8,3.34462528445302,3.39287504003829
"5",1,3.33063890896333,3.37967109421636
"6",1.2,3.31898628069367,3.36871910955413
"7",1.4,3.30966739964407,3.36001908605186
"8",1.6,3.30268226581454,3.35357102370922
"9",1.8,3.29803087920506,3.34937492252636
"10",2,3.29571323981563,3.34743078250321
"11",2.2,3.29572934764626,3.3477386036399
"12",2.4,3.29807920269696,3.35029838593638
"13",2.6,3.3027628049677,3.35511012939249
"14",2.8,3.3097801544585,3.36217383400845
"15",3,3.31913125116937,3.37148949978413
"16",3.2,3.33081609510027,3.38305712671951
"17",3.4,3.34483468625124,3.39687671481479
"18",3.6,3.36118702462227,3.41294826406974
"19",3.8,3.37987311021335,3.43127177448446
"20",4,3.40089294302448,3.45184724605885
"21",4.2,3.42424652305568,3.47467467879306
"22",4.4,3.44993385030693,3.49975407268718
"23",4.6,3.47795492477823,3.52708542774078
"24",4.8,3.5083097464696,3.55666874395433
"25",5,3.54099831538101,3.58850402132772
"26",5.2,3.57602063151249,3.62259125986074
"27",5.4,3.61337669486402,3.65893045955352
"28",5.6,3.65306650543561,3.69752162040603
"29",5.8,3.69509006322726,3.73836474241835
"30",6,3.73944736823896,3.78145982559037
