"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.45379827451451,3.35828615225057
"2",0.4,3.41164127381175,3.32977402333686
"3",0.6,3.37401826109598,3.30549090194034
"4",0.8,3.34092923636721,3.2854367880612
"5",1,3.31237419962543,3.26961168169937
"6",1.2,3.28835315087065,3.25801558285499
"7",1.4,3.26886609010287,3.25064849152782
"8",1.6,3.25391301732209,3.24751040771815
"9",1.8,3.24349393252829,3.24860133142567
"10",2,3.2376088357215,3.25392126265071
"11",2.2,3.2362577269017,3.26347020139294
"12",2.4,3.23944060606889,3.2772481476526
"13",2.6,3.24715747322308,3.29525510142959
"14",2.8,3.25940832836427,3.31749106272394
"15",3,3.27619317149245,3.34395603153564
"16",3.2,3.29751200260763,3.37465000786475
"17",3.4,3.3233648217098,3.40957299171114
"18",3.6,3.35375162879897,3.44872498307493
"19",3.8,3.38867242387514,3.49210598195603
"20",4,3.42812720693829,3.53971598835448
"21",4.2,3.47211597798844,3.59155500227025
"22",4.4,3.5206387370256,3.64762302370348
"23",4.6,3.57369548404974,3.70792005265397
"24",4.8,3.63128621906088,3.7724460891218
"25",5,3.69341094205903,3.84120113310701
"26",5.2,3.76006965304415,3.91418518460962
"27",5.4,3.83126235201628,3.99139824362951
"28",5.6,3.9069890389754,4.07284031016676
"29",5.8,3.98724971392152,4.15851138422132
"30",6,4.07204437685463,4.24841146579333
