"","listlambda","SRknown","SRunknown"
"1",0.01,0.622661405525223,0.621818112591227
"2",0.05,0.665419173542867,0.665796407651969
"3",0.1,0.695897300252952,0.696950727232982
"4",0.2,0.728944729327138,0.729895107349659
"5",0.4,0.757775875954564,0.757399558317893
"6",0.6,0.770119312410426,0.76867889773472
"7",0.8,0.776333286055113,0.77417535306001
"8",1,0.779667182591781,0.777010625320096
"9",1.2,0.781467233989556,0.778442771139928
"10",1.4,0.782384111721406,0.779071496517611
"11",1.6,0.782765559802926,0.779215485862136
"12",1.8,0.782811123998286,0.779057380584893
"13",2,0.782641508406381,0.778707758919001
"14",2.2,0.78233272038312,0.778236363797114
"15",2.4,0.781934132849154,0.777688560260775
"16",2.6,0.781478599577018,0.777094547739362
"17",2.8,0.780988388776352,0.77647477311035
"18",3,0.780478799999145,0.77584324035416
"19",3.2,0.779960441209122,0.775209602123046
"20",3.4,0.779440702211085,0.774580518758529
"21",3.6,0.778924730751694,0.773960562376706
"22",3.8,0.778416092407985,0.773352830529777
"23",4,0.777917224614819,0.772759369983885
"24",4.2,0.777429753860964,0.77218147373667
"25",4.4,0.776954720253017,0.771619891855376
"26",4.6,0.776492738340553,0.77107498277581
"27",4.8,0.776044113443812,0.770546822879216
"28",5,0.775608926512863,0.770035286462763
"29",5.2,0.775187096474048,0.769540104465917
"30",5.4,0.774778426303986,0.769060907802295
"31",5.6,0.774382637233166,0.768597259438483
"32",5.8,0.773999394219314,0.768148678184306
"33",6,0.773628324953555,0.767714656337407
