"","listlambda","SRknown","SRunknown","SRmaxlist"
"1",0.01,0.829779319605672,0.864367625023099,1.02274945024555
"2",0.05,0.848203047365914,0.881604814110811,1.02274945024555
"3",0.1,0.866892261496405,0.898866633041401,1.02274945024555
"4",0.2,0.894781617527912,0.924197264325877,1.02274945024555
"5",0.4,0.929774713458354,0.955207662218652,1.02274945024555
"6",0.6,0.950951015990252,0.973487222992115,1.02274945024555
"7",0.8,0.96511082166335,0.985445931798331,1.02274945024555
"8",1,0.975191175612018,0.993790588463868,1.02274945024555
"9",1.2,0.982687748053709,0.999878865678872,1.02274945024555
"10",1.4,0.988447033613976,1.00447002946796,1.02274945024555
"11",1.6,0.992985091378189,1.00802213558732,1.02274945024555
"12",1.8,0.996634501115247,1.01082751047157,1.02274945024555
"13",2,0.999619074293286,1.0130810307629,1.02274945024555
"14",2.2,1.00209475579355,1.01491723130361,1.02274945024555
"15",2.4,1.00417335993915,1.01643169823832,1.02274945024555
"16",2.6,1.00593701045965,1.01769400313743,1.02274945024555
"17",2.8,1.00744727504142,1.01875583589709,1.02274945024555
"18",3,1.00875113711647,1.01965629026273,1.02274945024555
"19",3.2,1.00988501146312,1.02042539708085,1.02274945024555
"20",3.4,1.01087751107461,1.02108654453248,1.02274945024555
"21",3.6,1.01175139475634,1.02165817173783,1.02274945024555
"22",3.8,1.01252496414566,1.02215497645266,1.02274945024555
"23",4,1.0132130827797,1.02258879085674,1.02274945024555
"24",4.2,1.01382793075168,1.02296922629541,1.02274945024555
"25",4.4,1.01437957121572,1.02330415443053,1.02274945024555
"26",4.6,1.01487638093413,1.02360007077177,1.02274945024555
"27",4.8,1.01532538120302,1.02386237245449,1.02274945024555
"28",5,1.01573249484631,1.02409557269678,1.02274945024555
"29",5.2,1.01610274769979,1.02430346795191,1.02274945024555
"30",5.4,1.01644042796696,1.02448926933975,1.02274945024555
"31",5.6,1.01674921328384,1.02465570683565,1.02274945024555
"32",5.8,1.01703227280468,1.02480511249089,1.02274945024555
"33",6,1.01729234979865,1.02493948737534,1.02274945024555
