"","listlambda","SRknown2","SRunknown2"
"1",0.01,0.823625993072589,0.793237594643111
"2",0.05,0.874423965969171,0.851367012317641
"3",0.1,0.911606417484724,0.893834007907572
"4",0.2,0.952205945572,0.939716931425869
"5",0.4,0.987014014738271,0.978897524887965
"6",0.6,1.00135227391281,0.995434559581786
"7",0.8,1.00827282752073,1.00381808052257
"8",1,1.01180682138545,1.00843597473439
"9",1.2,1.01358919545083,1.01106602706557
"10",1.4,1.01439340948327,1.01255602349767
"11",1.6,1.01462406591658,1.01335513047358
"12",1.8,1.01450829488559,1.01371949268008
"13",2,1.01418035981203,1.01380330120521
"14",2.2,1.01372275386274,1.01370327075941
"15",2.4,1.01318765280562,1.01348203193489
"16",2.6,1.01260876894601,1.01318117061972
"17",2.8,1.01200820934916,1.0128288452833
"18",3,1.01140059684641,1.01244441179564
"19",3.2,1.01079562578311,1.01204132346319
"20",3.4,1.01019968982343,1.01162899994293
"21",3.6,1.00961694244718,1.01121406019585
"22",3.8,1.00905000130116,1.01080115249988
"23",4,1.00850042376558,1.01039352310562
"24",4.2,1.00796903256953,1.00999341184352
"25",4.4,1.00745614137961,1.00960233105063
"26",4.6,1.00696171262337,1.00922126454298
"27",4.8,1.0064854687754,1.00885081100561
"28",5,1.00602697129931,1.00849128824195
"29",5.2,1.00558567687411,1.00814280954111
"30",5.4,1.0051609775215,1.00780533997651
"31",5.6,1.00475222923416,1.00747873812509
"32",5.8,1.00435877233667,1.00716278710665
"33",6,1.00397994587095,1.00685721774195
