"","listlambda","SRknown","SRunknown","SRmaxlist"
"1",0.01,0.788390125488246,0.798155520919694,1.11258063495208
"2",0.2,0.900744602579226,0.921047834432977,1.11258063495208
"3",0.4,0.952681974674429,0.974777031810368,1.11258063495208
"4",0.666666666666667,0.992300571966813,1.01365933049458,1.11258063495208
"5",1.33333333333333,1.04081861001223,1.05803389652955,1.11258063495208
"6",2,1.06356205644475,1.07722018050243,1.11258063495208
"7",2.66666666666667,1.07655150465297,1.0875166296109,1.11258063495208
"8",3.33333333333333,1.08480294679839,1.09370464262922,1.11258063495208
"9",4,1.09041867427529,1.09769902927454,1.11258063495208
"10",4.66666666666667,1.09443300824043,1.10040871535031,1.11258063495208
"11",5.33333333333333,1.09741114006457,1.10231536903405,1.11258063495208
"12",6,1.09968604745246,1.10369499345881,1.11258063495208
"13",6.66666666666667,1.1014654344658,1.10471532797805,1.11258063495208
"14",7.33333333333333,1.10288484234377,1.105483129225,1.11258063495208
"15",8,1.1040360271489,1.10606892284497,1.11258063495208
"16",8.66666666666667,1.10498302910394,1.10652075813331,1.11258063495208
"17",9.33333333333333,1.10577171446358,1.10687223187996,1.11258063495208
"18",10,1.10643567047438,1.10714736205357,1.11258063495208
"19",10.6666666666667,1.10699997196931,1.10736365105682,1.11258063495208
"20",11.3333333333333,1.10748365886422,1.10753406846346,1.11258063495208
"21",12,1.10790140746873,1.10766836756411,1.11258063495208
"22",12.6666666666667,1.10826468332509,1.10777397938146,1.11258063495208
"23",13.3333333333333,1.10858255228896,1.10785663193955,1.11258063495208
"24",14,1.10886226134571,1.10792078689262,1.11258063495208
"25",14.6666666666667,1.10910966120914,1.1079699523205,1.11258063495208
"26",15.3333333333333,1.10932951826741,1.10800691005811,1.11258063495208
"27",16,1.10952574789162,1.10803388308344,1.11258063495208
"28",16.6666666666667,1.1097015910373,1.1080526602465,1.11258063495208
"29",17.3333333333333,1.10985974940334,1.10806469023089,1.11258063495208
"30",18,1.1100024899296,1.10807115305092,1.11258063495208
"31",18.6666666666667,1.1101317263517,1.10807301496085,1.11258063495208
"32",19.3333333333333,1.11024908340724,1.10807107098713,1.11258063495208
"33",20,1.11035594779567,1.10806597813597,1.11258063495208
