"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.02983322644339,3.58670518401319
"2",0.4,2.95359994348165,3.49254827869215
"3",0.6,2.88586348611393,3.40773485132671
"4",0.8,2.82662385434023,3.33226490191687
"5",1,2.77588104816055,3.26613843046262
"6",1.2,2.73363506757489,3.20935543696396
"7",1.4,2.69988591258325,3.1619159214209
"8",1.6,2.67463358318563,3.12381988383343
"9",1.8,2.65787807938203,3.09506732420156
"10",2,2.64961940117245,3.07565824252529
"11",2.2,2.64985754855689,3.06559263880461
"12",2.4,2.65859252153535,3.06487051303952
"13",2.6,2.67582432010783,3.07349186523003
"14",2.8,2.70155294427433,3.09145669537613
"15",3,2.73577839403485,3.11876500347784
"16",3.2,2.77850066938939,3.15541678953513
"17",3.4,2.82971977033795,3.20141205354802
"18",3.6,2.88943569688054,3.25675079551651
"19",3.8,2.95764844901713,3.32143301544059
"20",4,3.03435802674775,3.39545871332028
"21",4.2,3.1195644300724,3.47882788915553
"22",4.4,3.21326765899106,3.5715405429464
"23",4.6,3.31546771350374,3.67359667469286
"24",4.8,3.42616459361043,3.78499628439492
"25",5,3.54535829931115,3.90573937205257
"26",5.2,3.67304883060589,4.03582593766582
"27",5.4,3.80923618749466,4.17525598123466
"28",5.6,3.95392036997743,4.3240295027591
"29",5.8,4.10710137805423,4.48214650223914
"30",6,4.26877921172506,4.64960697967475
