"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.80402107445585,2.5686470222097
"2",0.4,2.77205347398597,2.53192222738673
"3",0.6,2.74387027817404,2.49924476064673
"4",0.8,2.71947148702006,2.4706146219897
"5",1,2.69885710052403,2.44603181141565
"6",1.2,2.68202711868596,2.42549632892458
"7",1.4,2.66898154150583,2.40900817451648
"8",1.6,2.65972036898365,2.39656734819135
"9",1.8,2.65424360111942,2.3881738499492
"10",2,2.65255123791315,2.38382767979002
"11",2.2,2.65464327936483,2.38352883771382
"12",2.4,2.66051972547445,2.38727732372059
"13",2.6,2.67018057624203,2.39507313781034
"14",2.8,2.68362583166755,2.40691627998306
"15",3,2.70085549175104,2.42280675023876
"16",3.2,2.72186955649246,2.44274454857743
"17",3.4,2.74666802589185,2.46672967499908
"18",3.6,2.77525089994918,2.4947621295037
"19",3.8,2.80761817866446,2.52684191209129
"20",4,2.84376986203769,2.56296902276187
"21",4.2,2.88370595006887,2.60314346151541
"22",4.4,2.92742644275801,2.64736522835193
"23",4.6,2.97493134010509,2.69563432327142
"24",4.8,3.02622064211013,2.7479507462739
"25",5,3.08129434877311,2.80431449735934
"26",5.2,3.14015246009405,2.86472557652776
"27",5.4,3.20279497607294,2.92918398377916
"28",5.6,3.26922189670978,2.99768971911353
"29",5.8,3.33943322200457,3.07024278253088
"30",6,3.41342895195731,3.14684317403118
