"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.90086829632718,3.04385165078332
"2",0.4,2.86555805452136,3.01889073046714
"3",0.6,2.83427115547227,2.99796321499621
"4",0.8,2.80700759917991,2.9810691043705
"5",1,2.78376738564428,2.96820839859003
"6",1.2,2.76455051486537,2.95938109765481
"7",1.4,2.7493569868432,2.95458720156482
"8",1.6,2.73818680157776,2.95382671032007
"9",1.8,2.73103995906905,2.95709962392056
"10",2,2.72791645931707,2.96440594236628
"11",2.2,2.72881630232182,2.97574566565725
"12",2.4,2.7337394880833,2.99111879379346
"13",2.6,2.74268601660151,3.01052532677489
"14",2.8,2.75565588787645,3.03396526460157
"15",3,2.77264910190812,3.06143860727348
"16",3.2,2.79366565869652,3.09294535479064
"17",3.4,2.81870555824165,3.12848550715302
"18",3.6,2.84776880054351,3.16805906436065
"19",3.8,2.88085538560209,3.21166602641353
"20",4,2.91796531341742,3.25930639331162
"21",4.2,2.95909858398947,3.31098016505497
"22",4.4,3.00425519731824,3.36668734164354
"23",4.6,3.05343515340376,3.42642792307736
"24",4.8,3.10663845224599,3.49020190935642
"25",5,3.16386509384496,3.55800930048071
"26",5.2,3.22511507820067,3.62985009645024
"27",5.4,3.29038840531309,3.70572429726501
"28",5.6,3.35968507518225,3.78563190292502
"29",5.8,3.43300508780814,3.86957291343026
"30",6,3.51034844319076,3.95754732878075
