"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.7976852895472,3.07492191710715
"2",0.4,2.76280996624035,3.02977450507607
"3",0.6,2.73180700697084,2.98868069154112
"4",0.8,2.70467641173866,2.95164047650228
"5",1,2.6814181805438,2.91865385995957
"6",1.2,2.66203231338627,2.88972084191299
"7",1.4,2.64651881026607,2.86484142236253
"8",1.6,2.6348776711832,2.84401560130818
"9",1.8,2.62710889613767,2.82724337874996
"10",2,2.62321248512946,2.81452475468786
"11",2.2,2.62318843815858,2.8058597291219
"12",2.4,2.62703675522503,2.80124830205204
"13",2.6,2.63475743632881,2.80069047347831
"14",2.8,2.64635048146992,2.8041862434007
"15",3,2.66181589064836,2.81173561181922
"16",3.2,2.68115366386413,2.82333857873386
"17",3.4,2.70436380111722,2.83899514414462
"18",3.6,2.73144630240765,2.85870530805149
"19",3.8,2.76240116773541,2.8824690704545
"20",4,2.79722839710049,2.91028643135363
"21",4.2,2.83592799050291,2.94215739074888
"22",4.4,2.87849994794265,2.97808194864026
"23",4.6,2.92494426941973,3.01806010502775
"24",4.8,2.97526095493413,3.06209185991137
"25",5,3.02945000448586,3.11017721329111
"26",5.2,3.08751141807493,3.16231616516697
"27",5.4,3.14944519570132,3.21850871553896
"28",5.6,3.21525133736504,3.27875486440706
"29",5.8,3.28492984306609,3.34305461177129
"30",6,3.35848071280447,3.41140795763165
