"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.81350116945621,2.7617937341678
"2",0.4,2.78316208471736,2.73917517085389
"3",0.6,2.75668051562016,2.72054906728196
"4",0.8,2.73405646216462,2.70591542345201
"5",1,2.71528992435073,2.69527423936401
"6",1.2,2.70038090217849,2.68862551501799
"7",1.4,2.6893293956479,2.68596925041394
"8",1.6,2.68213540475896,2.68730544555186
"9",1.8,2.67879892951168,2.69263410043175
"10",2,2.67931996990604,2.70195521505361
"11",2.2,2.68369852594206,2.71526878941744
"12",2.4,2.69193459761973,2.73257482352325
"13",2.6,2.70402818493905,2.75387331737101
"14",2.8,2.71997928790003,2.77916427096076
"15",3,2.73978790650265,2.80844768429246
"16",3.2,2.76345404074693,2.84172355736615
"17",3.4,2.79097769063286,2.8789918901818
"18",3.6,2.82235885616044,2.92025268273943
"19",3.8,2.85759753732967,2.96550593503903
"20",4,2.89669373414055,3.01475164708058
"21",4.2,2.93964744659309,3.06798981886411
"22",4.4,2.98645867468729,3.12522045038962
"23",4.6,3.03712741842313,3.18644354165709
"24",4.8,3.09165367780062,3.25165909266653
"25",5,3.15003745281976,3.32086710341795
"26",5.2,3.21227874348055,3.39406757391134
"27",5.4,3.27837754978301,3.47126050414669
"28",5.6,3.3483338717271,3.55244589412401
"29",5.8,3.42214770931286,3.63762374384331
"30",6,3.49981906254026,3.72679405330459
