"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.83499328184071,2.78806982302796
"2",0.4,2.80209125219738,2.76484203311834
"3",0.6,2.77300270916818,2.74561776045333
"4",0.8,2.74772765275311,2.73039700503287
"5",1,2.72626608295218,2.71917976685701
"6",1.2,2.70861799976536,2.71196604592573
"7",1.4,2.69478340319268,2.70875584223904
"8",1.6,2.68476229323412,2.70954915579691
"9",1.8,2.6785546698897,2.71434598659938
"10",2,2.6761605331594,2.72314633464643
"11",2.2,2.67757988304323,2.73595019993806
"12",2.4,2.68281271954119,2.75275758247428
"13",2.6,2.69185904265328,2.77356848225508
"14",2.8,2.7047188523795,2.79838289928045
"15",3,2.72139214871984,2.82720083355041
"16",3.2,2.74187893167432,2.86002228506496
"17",3.4,2.76617920124292,2.89684725382408
"18",3.6,2.79429295742565,2.93767573982778
"19",3.8,2.82622020022251,2.98250774307607
"20",4,2.8619609296335,3.03134326356896
"21",4.2,2.90151514565861,3.0841823013064
"22",4.4,2.94488284829786,3.14102485628842
"23",4.6,2.99206403755124,3.20187092851505
"24",4.8,3.04305871341873,3.26672051798625
"25",5,3.09786687590036,3.33557362470203
"26",5.2,3.15648852499612,3.4084302486624
"27",5.4,3.21892366070601,3.48529038986734
"28",5.6,3.28517228303002,3.56615404831687
"29",5.8,3.35523439196817,3.65102122401098
"30",6,3.42910998752045,3.73989191694967
