"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.87334650622835,2.62404054432177
"2",0.4,2.83873089270599,2.59760727662082
"3",0.6,2.80803043016131,2.57470175913156
"4",0.8,2.78124511859431,2.55532399185398
"5",1,2.75837495800498,2.53947397478807
"6",1.2,2.73941994839333,2.52715170793385
"7",1.4,2.72438008975935,2.5183571912913
"8",1.6,2.71325538210305,2.51309042486043
"9",1.8,2.70604582542442,2.51135140864125
"10",2,2.70275141972347,2.51314014263375
"11",2.2,2.7033721650002,2.51845662683792
"12",2.4,2.70790806125461,2.52730086125378
"13",2.6,2.71635910848669,2.53967284588131
"14",2.8,2.72872530669644,2.55557258072052
"15",3,2.74500665588387,2.57500006577143
"16",3.2,2.76520315604898,2.597955301034
"17",3.4,2.78931480719176,2.62443828650826
"18",3.6,2.81734160931222,2.65444902219419
"19",3.8,2.84928356241035,2.6879875080918
"20",4,2.88514066648616,2.72505374420111
"21",4.2,2.92491292153964,2.76564773052208
"22",4.4,2.96860032757081,2.80976946705474
"23",4.6,3.01620288457964,2.85741895379908
"24",4.8,3.06772059256615,2.90859619075509
"25",5,3.12315345153034,2.9633011779228
"26",5.2,3.18250146147221,3.02153391530217
"27",5.4,3.24576462239175,3.08329440289323
"28",5.6,3.31294293428896,3.14858264069596
"29",5.8,3.38403639716385,3.21739862871038
"30",6,3.45904501101642,3.28974236693648
