"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.78934961181324,2.84511316780448
"2",0.4,2.75788343475359,2.81833762443234
"3",0.6,2.73031043942688,2.79511507387535
"4",0.8,2.7066306258331,2.77544551613353
"5",1,2.68684399397225,2.75932895120686
"6",1.2,2.67095054384432,2.74676537909534
"7",1.4,2.65895027544935,2.73775479979897
"8",1.6,2.6508431887873,2.73229721331777
"9",1.8,2.64662928385817,2.73039261965172
"10",2,2.64630856066199,2.73204101880082
"11",2.2,2.64988101919873,2.73724241076508
"12",2.4,2.6573466594684,2.7459967955445
"13",2.6,2.66870548147102,2.75830417313906
"14",2.8,2.68395748520656,2.77416454354879
"15",3,2.70310267067504,2.79357790677367
"16",3.2,2.72614103787645,2.81654426281371
"17",3.4,2.75307258681079,2.84306361166889
"18",3.6,2.78389731747806,2.87313595333925
"19",3.8,2.81861522987827,2.90676128782474
"20",4,2.85722632401141,2.9439396151254
"21",4.2,2.89973059987748,2.98467093524122
"22",4.4,2.94612805747649,3.02895524817219
"23",4.6,2.99641869680843,3.07679255391831
"24",4.8,3.05060251787329,3.12818285247959
"25",5,3.10867952067109,3.18312614385602
"26",5.2,3.17064970520183,3.24162242804761
"27",5.4,3.2365130714655,3.30367170505436
"28",5.6,3.3062696194621,3.36927397487626
"29",5.8,3.37991934919163,3.43842923751332
"30",6,3.4574622606541,3.51113749296554
