"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.85600444313926,2.81849454854455
"2",0.4,2.82410934122629,2.78075003990033
"3",0.6,2.79603870678251,2.74694455475508
"4",0.8,2.7717925398079,2.7170780931088
"5",1,2.75137084030247,2.69115065496149
"6",1.2,2.73477360826621,2.66916224031315
"7",1.4,2.72200084369913,2.65111284916378
"8",1.6,2.71305254660124,2.63700248151337
"9",1.8,2.70792871697251,2.62683113736193
"10",2,2.70662935481297,2.62059881670946
"11",2.2,2.7091544601226,2.61830551955596
"12",2.4,2.71550403290141,2.61995124590143
"13",2.6,2.72567807314939,2.62553599574586
"14",2.8,2.73967658086656,2.63505976908927
"15",3,2.75749955605289,2.64852256593164
"16",3.2,2.77914699870841,2.66592438627298
"17",3.4,2.80461890883311,2.68726523011329
"18",3.6,2.83391528642698,2.71254509745257
"19",3.8,2.86703613149003,2.74176398829081
"20",4,2.90398144402225,2.77492190262802
"21",4.2,2.94475122402366,2.8120188404642
"22",4.4,2.98934547149424,2.85305480179936
"23",4.6,3.037764186434,2.89802978663348
"24",4.8,3.09000736884293,2.94694379496656
"25",5,3.14607501872104,2.99979682679861
"26",5.2,3.20596713606833,3.05658888212964
"27",5.4,3.2696837208848,3.11731996095963
"28",5.6,3.33722477317045,3.18199006328858
"29",5.8,3.40859029292527,3.25059918911651
"30",6,3.48378028014926,3.32314733844341
