"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.01094797387097,2.85069931961033
"2",0.4,2.938252476842,2.80284164809207
"3",0.6,2.87361924198257,2.76260955167247
"4",0.8,2.81704826929266,2.73000303035153
"5",1,2.76853955877231,2.70502208412924
"6",1.2,2.72809311042149,2.68766671300561
"7",1.4,2.69570892424021,2.67793691698064
"8",1.6,2.67138700022846,2.67583269605432
"9",1.8,2.65512733838626,2.68135405022666
"10",2,2.64692993871359,2.69450097949766
"11",2.2,2.64679480121046,2.71527348386732
"12",2.4,2.65472192587687,2.74367156333562
"13",2.6,2.67071131271281,2.7796952179026
"14",2.8,2.6947629617183,2.82334444756822
"15",3,2.72687687289332,2.87461925233251
"16",3.2,2.76705304623788,2.93351963219545
"17",3.4,2.81529148175198,3.00004558715705
"18",3.6,2.87159217943562,3.0741971172173
"19",3.8,2.93595513928879,3.15597422237621
"20",4,3.0083803613115,3.24537690263379
"21",4.2,3.08886784550375,3.34240515799001
"22",4.4,3.17741759186555,3.44705898844489
"23",4.6,3.27402960039687,3.55933839399843
"24",4.8,3.37870387109773,3.67924337465062
"25",5,3.49144040396814,3.80677393040149
"26",5.2,3.61223919900808,3.94193006125099
"27",5.4,3.74110025621756,4.08471176719916
"28",5.6,3.87802357559657,4.235119048246
"29",5.8,4.02300915714513,4.39315190439147
"30",6,4.17605700086323,4.55881033563562
