"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.79633626879666,2.90344360859457
"2",0.4,2.7661553317614,2.86897027627119
"3",0.6,2.73982006272107,2.83830510801732
"4",0.8,2.71733046167565,2.81144810383298
"5",1,2.69868652862515,2.78839926371817
"6",1.2,2.68388826356958,2.76915858767287
"7",1.4,2.67293566650893,2.75372607569711
"8",1.6,2.6658287374432,2.74210172779086
"9",1.8,2.66256747637239,2.73428554395414
"10",2,2.6631518832965,2.73027752418695
"11",2.2,2.66758195821554,2.73007766848927
"12",2.4,2.6758577011295,2.73368597686112
"13",2.6,2.68797911203837,2.74110244930249
"14",2.8,2.70394619094217,2.75232708581339
"15",3,2.72375893784089,2.76735988639382
"16",3.2,2.74741735273454,2.78620085104375
"17",3.4,2.7749214356231,2.80884997976323
"18",3.6,2.80627118650659,2.83530727255222
"19",3.8,2.84146660538499,2.86557272941073
"20",4,2.88050769225832,2.89964635033877
"21",4.2,2.92339444712657,2.93752813533634
"22",4.4,2.97012686998974,2.97921808440342
"23",4.6,3.02070496084784,3.02471619754004
"24",4.8,3.07512871970085,3.07402247474617
"25",5,3.13339814654879,3.12713691602183
"26",5.2,3.19551324139165,3.18405952136701
"27",5.4,3.26147400422943,3.24479029078171
"28",5.6,3.33128043506212,3.30932922426594
"29",5.8,3.40493253388975,3.37767632181969
"30",6,3.48243030071229,3.44983158344298
