"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.19210405168429,2.70426014835306
"2",0.4,3.11123711806113,2.64551752396452
"3",0.6,3.0387414530907,2.59520536030672
"4",0.8,2.97461705677298,2.55332365737967
"5",1,2.91886392910799,2.51987241518338
"6",1.2,2.87148207009572,2.49485163371785
"7",1.4,2.83247147973618,2.47826131298307
"8",1.6,2.80183215802935,2.47010145297905
"9",1.8,2.77956410497525,2.47037205370578
"10",2,2.76566732057387,2.47907311516327
"11",2.2,2.76014180482521,2.49620463735151
"12",2.4,2.76298755772927,2.52176662027051
"13",2.6,2.77420457928606,2.55575906392027
"14",2.8,2.79379286949556,2.59818196830077
"15",3,2.8217524283578,2.64903533341204
"16",3.2,2.85808325587274,2.70831915925405
"17",3.4,2.90278535204042,2.77603344582683
"18",3.6,2.95585871686082,2.85217819313036
"19",3.8,3.01730335033393,2.93675340116464
"20",4,3.08711925245978,3.02975906992968
"21",4.2,3.16530642323834,3.13119519942547
"22",4.4,3.25186486266962,3.24106178965202
"23",4.6,3.34679457075363,3.35935884060933
"24",4.8,3.45009554749036,3.48608635229738
"25",5,3.56176779287981,3.6212443247162
"26",5.2,3.68181130692198,3.76483275786577
"27",5.4,3.81022608961688,3.91685165174609
"28",5.6,3.9470121409645,4.07730100635718
"29",5.8,4.09216946096483,4.246180821699
"30",6,4.2456980496179,4.42349109777161
