"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.8412269887214,2.7774520365786
"2",0.4,2.80969501353337,2.75090970549839
"3",0.6,2.78202864602094,2.72805288364474
"4",0.8,2.75822788618412,2.70888157101765
"5",1,2.73829273402291,2.69339576761712
"6",1.2,2.72222318953731,2.68159547344315
"7",1.4,2.71001925272732,2.67348068849574
"8",1.6,2.70168092359293,2.6690514127749
"9",1.8,2.69720820213417,2.66830764628061
"10",2,2.696601088351,2.6712493890129
"11",2.2,2.69985958224344,2.67787664097173
"12",2.4,2.7069836838115,2.68818940215714
"13",2.6,2.71797339305516,2.7021876725691
"14",2.8,2.73282870997443,2.71987145220763
"15",3,2.75154963456932,2.74124074107272
"16",3.2,2.77413616683981,2.76629553916437
"17",3.4,2.8005883067859,2.79503584648258
"18",3.6,2.83090605440761,2.82746166302735
"19",3.8,2.86508940970493,2.86357298879869
"20",4,2.90313837267786,2.90336982379658
"21",4.2,2.9450529433264,2.94685216802104
"22",4.4,2.99083312165054,2.99402002147207
"23",4.6,3.04047890765029,3.04487338414964
"24",4.8,3.09399030132565,3.09941225605379
"25",5,3.15136730267662,3.15763663718449
"26",5.2,3.2126099117032,3.21954652754176
"27",5.4,3.27771812840539,3.28514192712559
"28",5.6,3.34669195278319,3.35442283593598
"29",5.8,3.4195313848366,3.42738925397293
"30",6,3.49623642456562,3.50404118123644
