"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.79955426335345,2.69706822707691
"2",0.4,2.77378003463782,2.67277087034082
"3",0.6,2.75129261001131,2.65196069062422
"4",0.8,2.73209198947392,2.6346376879271
"5",1,2.71617817302566,2.62080186224947
"6",1.2,2.70355116066651,2.61045321359132
"7",1.4,2.69421095239649,2.60359174195266
"8",1.6,2.68815754821559,2.60021744733349
"9",1.8,2.68539094812381,2.6003303297338
"10",2,2.68591115212115,2.60393038915358
"11",2.2,2.68971816020762,2.61101762559286
"12",2.4,2.69681197238321,2.62159203905162
"13",2.6,2.70719258864792,2.63565362952986
"14",2.8,2.72086000900175,2.6532023970276
"15",3,2.7378142334447,2.67423834154482
"16",3.2,2.75805526197677,2.69876146308152
"17",3.4,2.78158309459796,2.7267717616377
"18",3.6,2.80839773130829,2.75826923721338
"19",3.8,2.83849917210773,2.79325388980853
"20",4,2.87188741699629,2.83172571942316
"21",4.2,2.90856246597397,2.87368472605729
"22",4.4,2.94852431904078,2.9191309097109
"23",4.6,2.9917729761967,2.96806427038401
"24",4.8,3.03830843744175,3.02048480807658
"25",5,3.08813070277592,3.07639252278864
"26",5.2,3.14123977219921,3.13578741452019
"27",5.4,3.19763564571163,3.19866948327124
"28",5.6,3.25731832331317,3.26503872904175
"29",5.8,3.32028780500382,3.33489515183175
"30",6,3.38654409078361,3.40823875164125
