"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.01426457398355,2.8175118567928
"2",0.4,2.94202537285189,2.75630600631512
"3",0.6,2.87816572602789,2.70364002473889
"4",0.8,2.82268563351156,2.65951391206411
"5",1,2.77558509530288,2.62392766829079
"6",1.2,2.73686411140187,2.59688129341891
"7",1.4,2.70652268180852,2.57837478744849
"8",1.6,2.68456080652284,2.56840815037951
"9",1.8,2.67097848554482,2.56698138221199
"10",2,2.66577571887446,2.57409448294592
"11",2.2,2.66895250651176,2.5897474525813
"12",2.4,2.68050884845672,2.61394029111814
"13",2.6,2.70044474470935,2.64667299855642
"14",2.8,2.72876019526964,2.68794557489616
"15",3,2.7654552001376,2.73775802013734
"16",3.2,2.81052975931321,2.79611033427998
"17",3.4,2.86398387279649,2.86300251732407
"18",3.6,2.92581754058743,2.93843456926961
"19",3.8,2.99603076268603,3.0224064901166
"20",4,3.0746235390923,3.11491827986505
"21",4.2,3.16159586980623,3.21596993851494
"22",4.4,3.25694775482782,3.32556146606629
"23",4.6,3.36067919415708,3.44369286251908
"24",4.8,3.47279018779399,3.57036412787333
"25",5,3.59328073573858,3.70557526212903
"26",5.2,3.72215083799082,3.84932626528619
"27",5.4,3.85940049455072,4.00161713734478
"28",5.6,4.00502970541829,4.16244787830484
"29",5.8,4.15903847059352,4.33181848816634
"30",6,4.3214267900764,4.50972896692931
