"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.78634026956675,2.65603087328388
"2",0.4,2.75285572131224,2.63211091517099
"3",0.6,2.72314346244515,2.6121236421006
"4",0.8,2.69720349296547,2.59606905407273
"5",1,2.67503581287321,2.58394715108739
"6",1.2,2.65664042216837,2.57575793314456
"7",1.4,2.64201732085094,2.57150140024424
"8",1.6,2.63116650892092,2.57117755238644
"9",1.8,2.62408798637833,2.57478638957117
"10",2,2.62078175322314,2.58232791179839
"11",2.2,2.62124780945538,2.59380211906815
"12",2.4,2.62548615507502,2.60920901138041
"13",2.6,2.6334967900821,2.62854858873519
"14",2.8,2.64527971447658,2.65182085113249
"15",3,2.66083492825847,2.67902579857231
"16",3.2,2.68016243142779,2.71016343105464
"17",3.4,2.70326222398452,2.74523374857949
"18",3.6,2.73013430592865,2.78423675114685
"19",3.8,2.76077867726022,2.82717243875673
"20",4,2.79519533797919,2.87404081140913
"21",4.2,2.83338428808559,2.92484186910404
"22",4.4,2.87534552757939,2.97957561184147
"23",4.6,2.92107905646062,3.03824203962143
"24",4.8,2.97058487472925,3.10084115244389
"25",5,3.0238629823853,3.16737295030887
"26",5.2,3.08091337942879,3.23783743321634
"27",5.4,3.14173606585968,3.31223460116637
"28",5.6,3.20633104167797,3.39056445415891
"29",5.8,3.27469830688369,3.47282699219395
"30",6,3.34683786147683,3.55902221527151
