"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.01070638844321,2.55633707524207
"2",0.4,2.9359836565863,2.4914709435426
"3",0.6,2.86982024291501,2.43436070076193
"4",0.8,2.81221614742934,2.38500634690006
"5",1,2.76317137012929,2.34340788195698
"6",1.2,2.72268591101486,2.3095653059327
"7",1.4,2.69075977008605,2.28347861882721
"8",1.6,2.66739294734286,2.26514782064053
"9",1.8,2.65258544278528,2.25457291137264
"10",2,2.64633725641333,2.25175389102355
"11",2.2,2.64864838822699,2.25669075959325
"12",2.4,2.65951883822627,2.26938351708175
"13",2.6,2.67894860641118,2.28983216348906
"14",2.8,2.7069376927817,2.31803669881515
"15",3,2.74348609733784,2.35399712306004
"16",3.2,2.7885938200796,2.39771343622374
"17",3.4,2.84226086100698,2.44918563830623
"18",3.6,2.90448722011998,2.50841372930751
"19",3.8,2.97527289741859,2.57539770922759
"20",4,3.05461789290283,2.65013757806647
"21",4.2,3.14252220657269,2.73263333582414
"22",4.4,3.23898583842816,2.82288498250062
"23",4.6,3.34400878846925,2.92089251809589
"24",4.8,3.45759105669596,3.02665594260996
"25",5,3.5797326431083,3.14017525604283
"26",5.2,3.71043354770625,3.26145045839449
"27",5.4,3.84969377048982,3.39048154966494
"28",5.6,3.99751331145901,3.5272685298542
"29",5.8,4.15389217061381,3.67181139896225
"30",6,4.31883034795424,3.8241101569891
