"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.8024049607995,2.74941675133881
"2",0.4,2.77045180595017,2.71892223878009
"3",0.6,2.742354260182,2.69228312681427
"4",0.8,2.71811232349502,2.66949941544136
"5",1,2.69772599588921,2.65057110466136
"6",1.2,2.68119527736457,2.63549819447427
"7",1.4,2.6685201679211,2.62428068488009
"8",1.6,2.65970066755881,2.61691857587882
"9",1.8,2.65473677627769,2.61341186747046
"10",2,2.65362849407774,2.613760559655
"11",2.2,2.65637582095897,2.61796465243247
"12",2.4,2.66297875692137,2.62602414580283
"13",2.6,2.67343730196494,2.63793903976611
"14",2.8,2.68775145608968,2.65370933432229
"15",3,2.70592121929561,2.67333502947139
"16",3.2,2.72794659158269,2.6968161252134
"17",3.4,2.75382757295096,2.72415262154831
"18",3.6,2.7835641634004,2.75534451847614
"19",3.8,2.81715636293101,2.79039181599687
"20",4,2.85460417154279,2.82929451411052
"21",4.2,2.89590758923575,2.87205261281707
"22",4.4,2.94106661600987,2.91866611211653
"23",4.6,2.99008125186518,2.96913501200891
"24",4.8,3.04295149680165,3.02345931249419
"25",5,3.0996773508193,3.08163901357238
"26",5.2,3.16025881391812,3.14367411524348
"27",5.4,3.22469588609812,3.20956461750749
"28",5.6,3.29298856735928,3.27931052036441
"29",5.8,3.36513685770162,3.35291182381424
"30",6,3.44114075712514,3.43036852785699
