"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,3.04976547731404,3.0498097771105
"2",0.4,2.97807875548118,2.98856447808639
"3",0.6,2.91444014594744,2.93576394303344
"4",0.8,2.8588496487128,2.89140817195165
"5",1,2.81130726377728,2.85549716484101
"6",1.2,2.77181299114087,2.82803092170151
"7",1.4,2.74036683080358,2.80900944253317
"8",1.6,2.7169687827654,2.79843272733599
"9",1.8,2.70161884702633,2.79630077610996
"10",2,2.69431702358638,2.80261358885508
"11",2.2,2.69506331244554,2.81737116557136
"12",2.4,2.70385771360381,2.84057350625878
"13",2.6,2.7207002270612,2.87222061091737
"14",2.8,2.7455908528177,2.9123124795471
"15",3,2.77852959087331,2.96084911214799
"16",3.2,2.81951644122804,3.01783050872003
"17",3.4,2.86855140388188,3.08325666926322
"18",3.6,2.92563447883484,3.15712759377757
"19",3.8,2.9907656660869,3.23944328226307
"20",4,3.06394496563808,3.33020373471973
"21",4.2,3.14517237748838,3.42940895114753
"22",4.4,3.23444790163778,3.53705893154649
"23",4.6,3.3317715380863,3.65315367591661
"24",4.8,3.43714328683394,3.77769318425787
"25",5,3.55056314788068,3.91067745657029
"26",5.2,3.67203112122655,4.05210649285385
"27",5.4,3.80154720687152,4.20198029310859
"28",5.6,3.93911140481561,4.36029885733446
"29",5.8,4.08472371505881,4.5270621855315
"30",6,4.23838413760113,4.70227027769969
