"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.82221652485437,2.81342441717596
"2",0.4,2.79317129890449,2.78849406702059
"3",0.6,2.76751652947745,2.76694903578129
"4",0.8,2.74525221657328,2.74878932345804
"5",1,2.72637836019195,2.73401493005084
"6",1.2,2.71089496033349,2.7226258555597
"7",1.4,2.69880201699787,2.71462209998459
"8",1.6,2.69009953018511,2.71000366332556
"9",1.8,2.68478749989521,2.70877054558256
"10",2,2.68286592612816,2.71092274675563
"11",2.2,2.68433480888396,2.71646026684476
"12",2.4,2.68919414816262,2.72538310584994
"13",2.6,2.69744394396413,2.73769126377117
"14",2.8,2.70908419628849,2.75338474060844
"15",3,2.72411490513571,2.77246353636178
"16",3.2,2.74253607050578,2.79492765103116
"17",3.4,2.76434769239871,2.8207770846166
"18",3.6,2.78954977081449,2.8500118371181
"19",3.8,2.81814230575313,2.88263190853566
"20",4,2.85012529721462,2.91863729886926
"21",4.2,2.88549874519896,2.95802800811891
"22",4.4,2.92426264970616,3.00080403628463
"23",4.6,2.96641701073621,3.04696538336638
"24",4.8,3.01196182828912,3.09651204936421
"25",5,3.06089710236488,3.14944403427808
"26",5.2,3.1132228329635,3.205761338108
"27",5.4,3.16893902008496,3.26546396085398
"28",5.6,3.22804566372929,3.32855190251601
"29",5.8,3.29054276389646,3.3950251630941
"30",6,3.3564303205865,3.46488374258823
