"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.81822172122161,2.80998218303684
"2",0.4,2.7900783537799,2.7804180199763
"3",0.6,2.7653981762702,2.75434437052241
"4",0.8,2.74418118869249,2.73176123467517
"5",1,2.72642739104678,2.71266861243459
"6",1.2,2.71213678333307,2.69706650380067
"7",1.4,2.70130936555137,2.68495490877339
"8",1.6,2.69394513770167,2.67633382735276
"9",1.8,2.69004409978396,2.6712032595388
"10",2,2.68960625179827,2.66956320533149
"11",2.2,2.69263159374456,2.67141366473082
"12",2.4,2.69912012562286,2.67675463773682
"13",2.6,2.70907184743316,2.68558612434948
"14",2.8,2.72248675917546,2.69790812456877
"15",3,2.73936486084976,2.71372063839473
"16",3.2,2.75970615245607,2.73302366582734
"17",3.4,2.78351063399437,2.7558172068666
"18",3.6,2.81077830546467,2.78210126151252
"19",3.8,2.84150916686697,2.8118758297651
"20",4,2.87570321820128,2.84514091162432
"21",4.2,2.91336045946759,2.8818965070902
"22",4.4,2.95448089066589,2.92214261616273
"23",4.6,2.9990645117962,2.96587923884193
"24",4.8,3.04711132285851,3.01310637512777
"25",5,3.09862132385282,3.06382402502027
"26",5.2,3.15359451477912,3.11803218851942
"27",5.4,3.21203089563743,3.17573086562522
"28",5.6,3.27393046642775,3.23692005633768
"29",5.8,3.33929322715007,3.3015997606568
"30",6,3.40811917780437,3.36976997858255
