"","mulist","diag.sigma_0.","diag.hatsigma_0."
"1",0.2,2.82775768908498,2.97454999190424
"2",0.4,2.79760714388458,2.93654285278293
"3",0.6,2.77133006207578,2.90267395446775
"4",0.8,2.74892644365859,2.87294329695867
"5",1,2.73039628863301,2.8473508802557
"6",1.2,2.71573959699903,2.82589670435884
"7",1.4,2.70495636875667,2.8085807692681
"8",1.6,2.6980466039059,2.79540307498347
"9",1.8,2.69501030244675,2.78636362150495
"10",2,2.69584746437921,2.78146240883255
"11",2.2,2.70055808970327,2.78069943696626
"12",2.4,2.70914217841894,2.78407470590607
"13",2.6,2.72159973052621,2.79158821565201
"14",2.8,2.7379307460251,2.80323996620405
"15",3,2.75813522491559,2.81902995756221
"16",3.2,2.78221316719769,2.83895818972648
"17",3.4,2.81016457287139,2.86302466269686
"18",3.6,2.8419894419367,2.89122937647335
"19",3.8,2.87768777439361,2.92357233105596
"20",4,2.91725957024214,2.96005352644467
"21",4.2,2.96070482948228,3.0006729626395
"22",4.4,3.00802355211402,3.04543063964045
"23",4.6,3.05921573813737,3.0943265574475
"24",4.8,3.11428138755232,3.14736071606066
"25",5,3.17322050035888,3.20453311547995
"26",5.2,3.23603307655706,3.26584375570534
"27",5.4,3.30271911614684,3.33129263673685
"28",5.6,3.37327861912822,3.40087975857446
"29",5.8,3.44771158550121,3.47460512121819
"30",6,3.52601801526581,3.55246872466804
