"","listlambda","SRknown","SRunknown"
"1",0.01,0.676060935345365,0.691919290284451
"2",0.05,0.715070931675857,0.741316151929034
"3",0.1,0.745731229942059,0.777540447157153
"4",0.2,0.780714645110333,0.815956359102011
"5",0.4,0.812361838086076,0.847001450406046
"6",0.6,0.82642829722129,0.858641978008282
"7",0.8,0.833820677228782,0.86352763589981
"8",1,0.838016827513936,0.865441154325955
"9",1.2,0.840476932536641,0.865884090637095
"10",1.4,0.841916801510627,0.8655527603027
"11",1.6,0.842724509018243,0.864803266053735
"12",1.8,0.843125890097848,0.863830049353494
"13",2,0.843259430687515,0.862744112550733
"14",2.2,0.843213518384255,0.861610693488125
"15",2.4,0.843046354819445,0.860468752262684
"16",2.6,0.842797221601036,0.859341624630334
"17",2.8,0.84249315378273,0.858243108085817
"18",3,0.842153045531669,0.857181064090542
"19",3.2,0.84179025747679,0.856159612342023
"20",3.4,0.84141431773914,0.855180498952017
"21",3.6,0.841032057610797,0.854243965691853
"22",3.8,0.840648385075017,0.853349310435503
"23",4,0.84026682089305,0.852495252476968
"24",4.2,0.839889875828056,0.851680172375415
"25",4.4,0.839519319646627,0.850902269925895
"26",4.6,0.839156375207358,0.850159668055407
"27",4.8,0.838801859947962,0.84945048065923
"28",5,0.838456289961746,0.848772856216555
"29",5.2,0.838119957159673,0.848125005060562
"30",5.4,0.837792986867921,0.847505215595776
"31",5.6,0.83747538107052,0.846911863050758
"32",5.8,0.837167051030567,0.846343413215557
"33",6,0.836867841992956,0.845798422844802
