"","listlambda","SRknown","SRunknown"
"1",0.01,0.62696587214698,0.635368914724831
"2",0.2,0.824146647381154,0.821460010861522
"3",0.4,0.883287523699848,0.883718040323484
"4",0.666666666666667,0.919229188824535,0.923419224157578
"5",1.33333333333333,0.95329602957192,0.96182708189533
"6",2,0.964952414835941,0.974980989691284
"7",2.66666666666667,0.969874760457137,0.980561401996876
"8",3.33333333333333,0.972061991394389,0.983108243901135
"9",4,0.972964358952436,0.984246372757981
"10",4.66666666666667,0.97321172458505,0.984670790876188
"11",5.33333333333333,0.973109822462761,0.984714410985136
"12",6,0.97281856796843,0.984549600587152
"13",6.66666666666667,0.972426074459731,0.984270688231063
"14",7.33333333333333,0.971982675305823,0.983931381523077
"15",8,0.971517799933879,0.98356310398264
"16",8.66666666666667,0.971048854417304,0.983184543194234
"17",9.33333333333333,0.970586119604006,0.982806870460103
"18",10,0.970135557440468,0.982436709584892
"19",10.6666666666667,0.969700469555221,0.982077881417014
"20",11.3333333333333,0.969282502753456,0.981732456988906
"21",12,0.968882271318282,0.981401407543647
"22",12.6666666666667,0.968499748554417,0.981085013063228
"23",13.3333333333333,0.968134516264602,0.980783122721406
"24",14,0.967785925105462,0.980495322723413
"25",14.6666666666667,0.967453198147149,0.980221045233786
"26",15.3333333333333,0.967135497760107,0.979959639292586
"27",16,0.966831968572228,0.979710416915247
"28",16.6666666666667,0.966541764686696,0.979472682838283
"29",17.3333333333333,0.966264066492342,0.979245753412367
"30",18,0.965998090575693,0.979028968261881
"31",18.6666666666667,0.965743095065361,0.978821697115787
"32",19.3333333333333,0.965498381968159,0.97862334342119
"33",20,0.965263297545798,0.978433345826543
